lat,lon,temp,precip,name
43.05,-115.867,55.6,0.00,Mountain Home Afb Airport
43.567,-116.241,57.5,0.00,Boise Air Terminal/Gowen Fd Airport
49.435,-2.602,48.6,0.00,Guernsey
49.933,-6.3,46.5,0.00,Scilly/St.Marys
50.133,-5.033,45.5,0.00,Port Pendennis
50.517,-2.45,46.3,0.00,Portland Bill (Lh)
50.783,6.1,46.8,0.02,Aachen
50.866,7.143,48.2,0.00,Koln Bonn
51.083,1.017,46.0,0.00,Lympne
51.35,-0.117,46.0,0.00,Purley Oaks
51.4,6.967,47.3,0.02,Essen/Mulheim
51.683,-5.167,47.2,0.00,St. Annes Head
51.933,-10.25,46.4,0.00,Valentia Observatory
52.473,13.404,44.0,0.02,Tempelhof
52.583,1.717,44.7,0.00,Gorleston
53.03,-0.483,43.0,0.00,Cranwell
53.317,-4.617,47.2,0.00,Holyhead
53.4,14.617,46.8,0.59,Szczecin
53.617,0.15,42.8,0.00,Spurn Head (Point)
53.91,-8.818,46.2,0.02,Connaught / Ireland West
54.89,20.593,54.2,0.08,Khrabrovo
55.017,-1.417,42.0,0.00,Tynemouth
55.367,-7.333,43.5,0.00,Malin Head
56.033,-3.133,42.7,0.00,Inchkeith
58.216,-6.331,38.2,0.04,Stornoway
58.459,-3.093,37.5,0.00,Wick
59.8,30.263,42.3,0.00,Pulkovo
60.133,-1.183,37.6,0.20,Lerwick
