name,lat,lon
Chukchi Autonomous Okrug,66.444,170.66
Kaliningrad,54.722,21.385
Murmansk,65.648,33.849
Novgorod,58.306,32.479
Pskov,57.225,29.236
Leningrad,60.008,31.708
City of St. Petersburg,59.9,30.196
Bryansk,52.903,33.406
Smolensk,54.949,32.995
Karelia,65.103,35.721
Arkhangel'sk,63.418,43.116
Ivanovo,57.014,41.697
Vologda,59.967,40.495
Kostroma,58.459,43.796
Nizhegorod,56.292,44.635
Tver',57.089,34.714
Yaroslavl',57.872,39.134
Kaluga,54.371,35.445
Kursk,51.676,36.073
Lipetsk,52.646,39.132
Moskovskaya,55.667,37.669
Moskva,55.482,37.38
Orel,52.783,36.475
Rostov,47.748,41.304
Tula,53.893,37.56
Volgograd,49.615,44.157
Belgorod,50.666,37.476
Krasnodar,45.194,39.512
Mordovia,54.37,44.436
Penza,53.193,44.647
Ryazan',54.326,40.618
Tambov,52.686,41.583
Vladimir,56.013,40.657
Voronezh,50.971,40.22
Bashkortostan,54.272,56.509
Chelyabinsk,54.452,60.386
Kurgan,55.448,64.804
Nenets,67.799,55.019
Yamal-Nenets,67.096,74.529
Komi,64.127,54.78
Kirov,58.685,49.828
Mariy-El,56.581,47.942
Sverdlovsk,58.596,61.531
Udmurt,57.175,52.787
Astrakhan',47.166,47.269
Chuvash,55.494,47.09
Kalmyk,46.444,45.316
Samara,53.28,50.465
Orenburg,51.993,55.613
Saratov,51.584,46.793
Tatarstan,55.359,50.917
Ul'yanovsk,53.899,47.949
Khanty-Mansiy,61.867,70.292
Omsk,56.111,73.347
Tyumen',57.683,69.131
Altay,52.609,82.604
Gorno-Altay,50.727,87.023
Kemerovo,54.792,87.217
Khakass,53.362,89.852
Novosibirsk,55.281,79.756
Chechnya,43.303,45.736
Dagestan,43.016,46.867
Irkutsk,57.094,106.361
Krasnoyarsk,67.013,95.96
Tuva,51.581,94.791
Buryat,53.545,109.477
Amur,53.399,127.728
Chita,52.839,116.199
Primor'ye,45.165,134.701
Sakha (Yakutia),65.994,129.873
Yevrey,48.522,132.263
Khabarovsk,54.821,137.321
Maga Buryatdan,62.711,153.981
Sakhalin,50.332,142.719
Crimea,45.329,34.366
Perm',59.115,56.225
Kamchatka,58.942,162.986
Sevastopol,44.58,33.64
Northern Cape,-29.448,21.402
Western Cape,-33.009,20.603
North West,-26.264,25.507
Free State,-28.603,26.867
Gauteng,-26.108,28.121
Mpumalanga,-25.877,30.287
Limpopo,-23.789,29.28
KwaZulu-Natal,-28.721,30.721
Eastern Cape,-32.148,26.442
Maharashtra,19.461,76.116
