lat,lon,temp,precip,name
49.435,-2.602,49.3,0.00,Guernsey
49.933,-6.3,48.0,0.00,Scilly/St.Marys
50.133,-5.033,49.5,0.00,Port Pendennis
50.517,-2.45,48.5,0.00,Portland Bill (Lh)
51.083,1.017,56.5,0.00,Lympne
51.35,-0.117,58.3,0.00,Purley Oaks
51.683,-5.167,48.5,0.00,St. Annes Head
51.933,-10.25,45.7,0.00,Valentia Observatory
52.583,1.717,50.0,0.00,Gorleston
53.03,-0.483,56.0,0.00,Cranwell
53.317,-4.617,48.0,0.00,Holyhead
53.617,0.15,48.7,0.00,Spurn Head (Point)
53.91,-8.818,47.2,0.00,Connaught / Ireland West
55.017,-1.417,46.5,0.00,Tynemouth
55.367,-7.333,46.2,0.00,Malin Head
56.033,-3.133,43.5,0.00,Inchkeith
58.459,-3.093,44.7,0.00,Wick
60.133,-1.183,48.2,0.00,Lerwick
