lat,lon,temp,precip,name
-78.45,106.867,-87.0,0.00,Vostok
-77.867,-34.617,5.8,0.00,Base Belgrano Ii
-75.61,-26.272,-15.5,0.00,Halley
-70.767,11.833,15.0,0.00,Novolazarevskaja
-70.667,-8.25,-12.6,0.00,Neumayer
-69.367,76.367,12.1,0.00,Zhongshan
-69.0,39.583,1.4,0.00,Syowa
-68.583,77.967,11.3,0.00,Davis
-68.117,-67.133,16.7,0.04,Base San Martin
-67.667,45.85,-1.8,0.00,Molodeznaja
-67.6,62.867,2.7,0.00,Mawson
-66.667,140.017,-8.3,0.00,Dumont D'Urville
-66.55,93.017,8.1,0.00,Mirnyj
-66.283,110.533,2.8,0.00,Casey
-64.233,-56.717,-8.0,0.00,Base Marambio (Centro Met. Antartico)
-63.4,-56.983,2.2,0.08,Base Esperanza
-63.317,-56.683,21.3,0.00,Base Bernardo O'Higgins
-62.5,-59.683,29.7,0.00,Base Arturo Prat
-62.233,-58.633,29.2,0.08,Base Carlini
-62.217,-58.967,29.1,0.09,Great Wall
-62.183,-58.983,29.6,0.00,Centro Met. Antartico Pdte. Eduardo Frei
-62.183,-58.883,30.5,0.11,Bellingshausen Aws
-62.183,-58.85,29.4,0.00,Dinamet-Uruguay
-60.733,-44.733,31.7,0.00,Base Orcadas
-54.843,-68.296,36.9,0.00,Ushuaia Malvinas Argentinas
-54.499,158.937,44.3,0.04,Macquarie Island
-54.283,-36.5,33.3,0.00,Grytviken
-53.778,-67.749,38.9,0.00,Rio Grande
-53.003,-70.855,40.2,0.00,Carlos Ibanez Del Campo Intl
-52.55,169.167,42.6,0.00,Cambell Island Aws
-52.433,-59.083,45.0,0.00,Sea Lion Island
-51.9,-60.917,45.0,0.00,Weddell Island
-51.823,-58.447,44.1,0.02,Mount Pleasant
-51.609,-69.313,42.9,0.00,Rio Gallegos
-51.317,-59.6,46.6,0.00,Pebble Island
-50.483,166.3,44.7,0.12,Enderby Island Aws
-50.333,-72.3,46.3,0.00,Lago Argentino Arpt
-49.35,70.25,50.0,0.00,Port-Aux-Francais (Iles Kerguelen)
-49.307,-67.803,45.4,0.00,San Julian
-48.167,-52.933,34.0,0.00,Grates Cove(Auto)
-46.875,37.86,41.0,0.01,Marion Island
-46.517,-71.017,48.6,0.00,Perito Moreno Arpt
-46.433,51.85,42.4,0.04,Alfred Faure (Iles Crozet)
-46.412,168.313,51.4,0.00,Invercargill
-46.15,166.6,50.7,1.30,Puysegur Point Aws
-45.916,-71.689,45.1,0.00,Balmaceda
-45.785,-67.466,55.6,0.00,Comodoro Rivadavia
-45.767,170.733,51.0,0.01,Taiaroa Head
-45.4,-72.7,49.3,0.59,Puerto Aysan / Cabo Juan Roman
-44.4,171.25,56.8,0.00,Timaru Harbour
-43.65,146.267,52.6,0.00,Maatsuyker Island Lighthouse
-43.5,147.15,52.3,0.00,Cape Bruny Lighthouse
-43.489,172.532,51.7,0.00,Christchurch Intl
-43.211,-65.27,56.9,0.00,Almirante Zar
-43.167,147.833,50.5,0.00,Port Arthur /Palmer
-42.983,145.5,50.7,0.00,Low Rocky Point (Aws)
-42.908,-71.139,47.9,0.59,Esquel
-42.9,147.233,37.4,0.02,Mt Wellington
-42.883,147.333,49.8,0.00,Hobart (Ellerslie Road)
-42.836,147.51,48.5,0.00,Hobart
-42.717,170.983,54.1,0.00,Hokitika Aerodrome Aws
-42.15,145.283,48.2,0.00,Strahan Aerodrome
-41.733,171.567,51.8,0.02,Westport Aerodrome
-41.717,174.267,54.2,0.00,Cape Campbell Aws
-41.617,147.733,44.2,0.00,Storys Creek Aws
-41.545,147.214,51.9,0.00,Launceston
-41.439,-73.094,50.9,0.43,El Tepual Intl
-41.327,174.805,52.8,0.00,Wellington Intl
-41.3,173.2,51.7,0.00,Nelson Aerodrome Aws
-41.167,146.417,54.5,0.00,Devonport Airport
-41.151,-71.158,47.0,0.39,San Carlos De Bariloche
-41.05,146.8,58.8,0.00,Low Head (Lgt-H)
-41.0,145.733,57.9,0.00,Wynyard Airport
-41.0,148.35,58.2,0.00,Larapuna (Eddystone Point)
-40.917,144.7,56.6,0.00,Marrawah
-40.905,174.989,46.6,0.00,Paraparaumu
-40.869,-63.0,57.4,0.00,Gobernador Castello
-40.783,-65.1,59.8,0.00,San Antonio Oeste Aero
-40.733,148.117,59.5,0.00,Swan Island Lightho
-40.667,144.683,56.3,0.00,Cape Grim Baps
-40.55,173.0,55.3,0.00,Farewell Spit Aws
-40.35,-9.883,53.2,0.16,Gough Island
-40.317,175.6,49.5,0.00,Palmerston North Aws
-40.117,148.017,61.0,0.00,Whitemark
-39.933,143.85,55.8,0.00,King Island Currie
-39.65,-73.086,54.7,0.31,Pichoy
-39.467,176.867,47.5,0.00,Napier Aerodrome Aws
-39.217,146.983,54.2,0.00,Hogan Island
-39.117,146.417,59.5,0.00,Wilsons Promontory Lighthouse
-39.017,174.183,55.6,0.04,New Plymouth Aws
-38.949,-68.156,57.9,0.00,Presidente Peron
-38.85,143.517,55.2,0.00,Cape Otway Lighthouse
-38.767,-72.637,53.7,0.28,Maquehue
-38.725,-62.169,59.3,0.00,Comandante Espora
-38.663,177.978,51.8,0.00,Gisborne
-38.6,145.583,53.8,0.00,Wonthaggi
-38.45,144.1,56.2,0.00,Aireys Inlet
-38.45,145.3,55.2,0.00,Rhyll (Aws)
-38.4,142.233,52.5,0.00,Port Fairy Aws
-38.35,145.167,54.2,0.00,Cerberus Aws
-38.317,141.467,53.6,0.00,Portland Cashmore Airport
-38.283,142.433,49.9,0.00,Warrnambool Airport
-38.217,146.467,52.0,0.00,Latrobe Valley Airport
-38.167,144.367,51.4,0.00,Geelong Racecourse
-38.099,147.149,45.6,0.00,East Sale
-38.067,142.767,47.0,0.00,Mortlake Racecourse
-37.976,145.102,51.5,0.00,Melbourne Moorabbin
-37.934,-57.573,60.2,0.00,Mar Del Plata
-37.9,144.117,48.0,0.00,Sheoaks Aws
-37.867,144.75,53.3,0.00,Laverton Raaf
-37.867,148.0,55.5,0.00,Lakes Entrance
-37.817,144.967,55.0,0.00,Melbourne Regional Office
-37.8,77.533,55.6,0.00,Martin De Vivies (Ile Amsterdam)
-37.8,149.267,60.8,0.00,Point Hicks (Lighthouse)
-37.733,140.783,53.5,0.00,Mount Gambier Aero
-37.683,148.45,54.0,0.00,Orbost (Comparison)
-37.673,144.843,52.3,0.00,Melbourne Intl
-37.672,176.196,59.5,0.00,Tauranga
-37.65,142.067,51.4,0.00,Hamilton Airport
-37.567,149.9,60.4,0.00,Gabo Island Lighthouse
-37.55,178.3,54.0,0.00,Hicks Bay Aws
-37.517,143.783,47.4,0.00,Ballarat Aerodrome
-37.283,142.983,47.2,0.00,Ararat Prison
-37.25,150.05,62.2,0.00,Green Cape Aws
-37.233,143.2,50.6,0.00,Ben Nevis
-37.217,148.267,49.5,0.00,Gelantipy
-37.15,146.433,45.2,0.00,Mount Buller Aws
-37.008,174.792,60.6,0.08,Auckland Intl
-37.0,149.233,46.5,0.00,Bombala Aws
-36.967,139.717,55.1,0.00,The Limestone
-36.967,147.133,43.2,0.00,Mount Hotham
-36.95,140.733,59.6,0.00,Naracoorte
-36.883,-60.217,60.3,0.00,Olavarria Aero
-36.883,145.183,52.1,0.00,Mangalore Airport
-36.867,147.267,44.6,0.00,Falls Creek Aws
-36.773,-73.063,56.1,0.04,Carriel Sur Intl
-36.733,144.317,52.1,0.00,Bendigo Airport Aws
-36.667,149.817,56.5,0.00,Bega Aws
-36.65,142.067,51.8,0.00,Horsham Polkemmet Rd
-36.588,-64.276,60.5,0.00,Santa Rosa
