lat,lon,temp,precip,name
-42.883,147.333,51.0,0.01,Hobart (Ellerslie Road)
-41.545,147.214,51.5,0.00,Launceston
-38.099,147.149,51.3,0.00,East Sale
-37.867,144.75,50.9,0.00,Laverton Raaf
-37.733,140.783,51.0,0.00,Mount Gambier Aero
-37.733,144.9,49.6,0.00,Essendon Airport
-35.307,149.195,54.0,0.00,Canberra
-35.165,147.466,55.1,0.00,Wagga Wagga
-34.793,138.633,55.0,0.00,Adelaide Parafield
-33.95,151.2,65.7,0.00,Sydney Intl Airport
-33.433,-70.683,56.8,0.00,Quinta Normal
-33.05,151.6,65.5,0.00,Rathminesamo
-32.133,133.7,55.1,0.00,Ceduna Amo
-31.933,115.967,67.1,0.00,Perth Intl/Belmont
-31.917,115.867,68.1,0.00,Perth Metro
-30.833,128.1,60.8,0.00,Forrest Airport
-28.705,121.891,59.5,0.00,Murrin Murrin
-27.57,153.0,67.5,0.00,Archer Field Airport
-27.55,135.45,66.9,0.00,Oodnadatta Airport
-26.413,146.263,68.5,0.00,Charleville
-23.807,133.902,66.7,0.00,Alice Springs
-23.8,133.917,68.4,0.00,Alice Springs Arpt
-23.444,-70.445,64.3,0.00,Cerro Moreno Intl / Andres Sabella Intl
-23.382,150.475,71.8,0.00,Rockhampton
-21.67,115.12,83.5,0.00,Onslowamo
-20.667,140.5,71.6,0.00,Cloncurry Airport
-20.378,118.626,80.6,0.00,Port Hedland Intl
-19.25,146.767,75.8,0.00,Townsville(Civ/Mil)
-17.945,122.232,79.5,0.00,Broome Intl
-17.47,140.83,83.3,0.00,Karumba Flying Base
-17.2,-43.667,70.0,0.00,Bocaiuva Southeast
-16.341,-71.583,56.8,0.00,Rodriguez Ballon
-16.27,133.38,75.0,0.00,Dalywatersamo
-12.415,130.877,80.4,0.00,Darwin Intl
-7.97,-14.394,81.2,0.00,Ascension Aux Af
-4.577,-81.254,81.9,0.00,Capitan Fap Victor Montes Intl
-2.05,147.433,82.1,0.00,Los Negros Admrty Is/Momote S
1.986,-157.35,81.7,0.00,Christmas Island
5.883,-162.05,79.2,0.00,Palmyra Island
6.8,-58.15,78.1,0.00,Georgetown
7.187,100.608,85.9,0.00,Songkhla
7.517,-78.15,83.8,0.00,Jaque
7.733,-80.133,83.8,0.00,Pocri Airfield
8.233,-78.9,81.5,0.00,Rey Island
8.367,-80.117,82.4,0.00,Rio Hato
8.391,-82.435,80.2,0.00,Enrique Malek Intl
8.733,167.733,82.2,0.00,Bucholz Aaf Kwajalein Kmr Atol Ap
8.917,-79.6,82.5,0.00,Howard
8.967,-79.55,83.4,0.00,Albrook Afb/Balboa
9.367,-79.9,81.9,0.00,Coco Solo
9.517,-84.333,82.8,0.00,Parrita
10.033,139.8,83.2,0.00,Falalop Island (Cg)  Ulithi Atoll
10.595,-61.337,79.2,0.00,Piarco
10.683,-61.617,80.2,0.00,Trinidad Bwi
13.517,144.817,81.7,0.00,Harmon Ab
13.733,-60.953,80.4,0.00,Hewanorra Intl
13.913,100.607,87.2,0.01,Bangkok Intl / Don Mueang Intl
14.5,120.917,84.1,0.00,Sangley Point
14.509,121.02,83.0,0.00,Ninoy Aquino Intl
