lat,lon,temp,precip,name
-90.0,0.0,-76.7,0.00,Univ. Wi Id 8987 (Clean Air)
-89.0,-1.017,-82.2,0.00,Henry
-89.0,89.667,-79.4,0.00,Nico
-83.133,174.167,-29.6,0.00,Elaine
-82.517,-174.45,-58.5,0.00,Lettau
-80.033,-178.633,-66.7,0.00,Gill
-80.0,-119.4,-20.3,0.00,Byrd Station
-79.95,165.117,-32.7,0.00,Marilyn
-78.55,166.65,-43.3,0.00,Minna Bluff
-78.45,106.867,-95.8,0.00,Vostok
-77.9,170.817,-53.6,0.00,Ferrell
-77.867,-34.617,-9.7,0.00,Base Belgrano Ii
-77.85,166.667,-32.4,0.00,Mcmurdo
-77.433,163.75,-25.4,0.00,Marble Point
-76.717,162.967,-23.4,0.00,Cape Ross
-75.61,-26.272,-17.6,0.00,Halley
-75.117,123.367,-88.3,0.00,Dome C Ii
-75.017,-62.533,-17.6,0.00,Navy Operated(Amos)
-74.95,163.683,-28.4,0.00,Manuela
-74.7,164.1,-14.5,0.00,Base Baia Terra Nova
-74.483,160.483,-54.9,0.00,Sandra
-74.233,160.283,-56.7,0.00,Lynn
-74.133,109.833,-82.5,0.00,Casey (Gc 46 Aws)
-73.833,55.667,-59.4,0.00,Mawson (Lgb 20 Aws)
-73.517,169.75,-21.2,0.00,Cape Phillips
-73.2,-127.05,10.9,0.00,Mount Siple
-73.05,-13.383,-7.9,0.00,Nordenskiold Base
-72.2,-60.167,-16.8,0.00,Univ. Wi Id 8902 (Butler Island)
-72.017,2.533,1.8,0.00,Troll In Antarktis
-71.883,171.2,-15.5,0.00,Possession Is
-71.6,111.267,-58.6,0.00,Casey (Traverse Gc41)
-71.433,-68.933,12.0,0.00,Univ. Wi Id 8920 (Uranus)
-70.667,-8.25,-28.6,0.00,Neumayer
-69.367,76.367,-8.5,0.00,Zhongshan
-69.0,39.583,21.0,0.00,Syowa
-68.583,77.967,-7.6,0.00,Davis
-68.117,-67.133,28.4,0.20,Base San Martin
-67.667,45.85,16.9,0.00,Molodeznaja
-67.6,62.867,0.2,0.00,Mawson
-67.017,-61.467,-8.7,0.00,Univ. Wi Id 8926 (Larsen Ice Shelf)
-66.733,112.833,-6.6,0.00,Law Dome Summit
-66.717,139.833,7.2,0.00,D-10
-66.667,140.017,10.0,0.00,Dumont D'Urville
-66.55,93.017,-4.9,0.00,Mirnyj
-66.283,110.533,8.1,0.00,Casey
-66.283,110.783,1.8,0.00,Casey Airstrip(Aws)
-66.017,111.083,7.5,0.00,Casey Balaena Islan
-64.233,-56.717,21.9,0.00,Base Marambio (Centro Met. Antartico)
-63.4,-56.983,32.3,0.04,Base Esperanza
-63.317,-56.683,30.6,0.00,Base Bernardo O'Higgins
-62.5,-59.683,32.9,0.39,Base Arturo Prat
-62.233,-58.633,34.1,0.04,Base Carlini
-62.217,-58.967,33.2,0.06,Great Wall
-62.183,-58.983,33.1,0.04,Centro Met. Antartico Pdte. Eduardo Frei
