lat,lon,temp,precip,name
-90.0,0.0,-64.3,0.02,Amundsen-Scott
-77.883,166.733,-6.0,0.00,Mcmurdo Sound Naf
-42.883,147.333,58.1,0.00,Hobart (Ellerslie Road)
-42.836,147.51,57.9,0.00,Hobart
-41.545,147.214,59.2,0.00,Launceston
-40.117,148.017,66.8,0.00,Whitemark
-38.099,147.149,63.3,0.00,East Sale
-37.867,144.75,64.0,0.00,Laverton Raaf
-37.817,144.967,65.0,0.00,Melbourne Regional Office
-37.733,140.783,55.4,0.00,Mount Gambier Aero
-37.733,144.9,63.7,0.00,Essendon Airport
-36.9,149.9,66.9,0.00,Merimbula Airport
-36.883,145.183,68.1,0.00,Mangalore Airport
-36.317,141.633,55.6,0.00,Nhill Aerodrome
-35.307,149.195,58.7,0.00,Canberra
-35.165,147.466,67.9,0.00,Wagga Wagga
-34.95,138.533,59.5,0.00,Adelaide
-34.949,150.537,64.1,0.00,Nowra
-34.941,117.802,52.3,0.00,Albany Airport
-34.93,138.58,58.4,0.00,Adelaide (West Terrace)
-33.95,151.2,67.5,0.00,Sydney Intl Airport
-33.924,150.988,66.8,0.00,Sydney Bankstown
-33.85,148.65,68.4,0.00,Cowra Airport Comparison
-33.85,151.2,67.8,0.00,Sydney (Observatory Hill)
-33.833,121.893,56.9,0.00,Esperance
-33.601,150.781,63.8,0.00,Richmond
-33.383,149.117,58.8,0.00,Orange Airport Comparison
-32.795,151.834,65.7,0.00,Williamtown
-32.133,133.7,55.3,0.00,Ceduna Amo
-31.97,141.45,63.5,0.00,Brokenhillp.O. (Rly Station
-31.933,115.967,53.1,0.00,Perth Intl/Belmont
-31.917,115.867,57.1,0.00,Perth Metro
-31.483,145.833,67.2,0.00,Cobar Mo
-31.391,-54.112,54.8,0.00,Comandante Gustavo Kraemer
-31.144,136.817,54.8,0.00,Woomera
-31.08,150.85,67.5,0.00,Tamworthamo/Mo.From1966
-30.833,128.1,51.8,0.00,Forrest Airport
-30.789,121.462,51.5,0.00,Kalgoorlie Boulder
-30.47,138.42,58.9,0.00,Leigh Creek Aero
-30.321,153.116,66.6,0.00,Coffs Harbour
-29.467,149.85,69.7,0.00,Moree
-28.796,114.708,58.3,0.00,Geraldton
-28.705,121.891,63.5,0.00,Murrin Murrin
-27.55,135.45,59.4,0.00,Oodnadatta Airport
-27.483,153.033,69.1,0.00,Brisbane
-27.383,153.117,67.9,0.00,Brisbane Intl Arpt
-26.614,118.537,55.4,0.00,Meekatharra Airport
-26.413,146.263,73.0,0.00,Charleville
-25.033,128.3,53.1,0.00,Giles Meteorological Office
-24.9,152.317,71.5,0.00,Bundaberg Aero
-24.888,113.67,63.3,0.00,Carnarvon Airport
-23.85,151.267,71.7,0.00,Gladstone Radar
-23.8,133.917,55.6,0.00,Alice Springs Arpt
-23.382,150.475,69.9,0.00,Rockhampton
-21.67,115.12,71.3,0.00,Onslowamo
-21.117,149.217,72.1,0.00,Mackay Mo
-20.667,140.5,75.3,0.00,Cloncurry Airport
-20.664,139.489,72.9,0.00,Mount Isa
-20.378,118.626,77.6,0.00,Port Hedland Intl
-19.633,134.183,77.3,0.00,Tennant Creek Airport
-19.25,146.767,76.2,0.00,Townsville(Civ/Mil)
-18.233,127.667,79.7,0.00,Halls Creek Airport
