lat,lon,temp,precip,name
-90.0,0.0,-76.6,0.00,Amundsen-Scott
-89.0,-1.017,-74.2,0.00,Henry
-89.0,89.667,-77.4,0.00,Nico
-84.6,-115.817,-14.6,0.00,Theresa
-83.0,-121.383,-20.3,0.00,Harry
-82.767,-13.05,-33.5,0.00,Baldrick Aws
-80.37,77.37,-91.2,0.00,Dome Plateau Dome A
-79.95,165.117,-25.5,0.00,Marilyn
-78.55,166.65,-27.2,0.00,Minna Bluff
-78.45,106.867,-96.3,0.00,Vostok
-77.95,166.5,-31.5,0.00,Pegasus North
-77.867,-34.617,4.2,0.08,Base Belgrano Ii
-77.433,163.75,-17.5,0.00,Marble Point
-77.317,39.7,-78.4,0.00,Dome Fuji
-76.717,162.967,-12.6,0.00,Cape Ross
-76.42,77.02,-49.9,0.00,Dome Plateau Eagle
-75.867,-59.15,-10.6,0.00,Univ. Wi Id 8925 (Limbert Aws)
-75.61,-26.272,-12.1,0.00,Halley
-75.117,123.367,-75.3,0.00,Dome C Ii
-75.0,0.0,-68.5,0.00,Kohnen / Ep9
-74.8,-71.483,2.4,0.00,Univ. Wi Id 8917 (Ski-Blu)
-74.7,164.1,12.5,0.00,Base Baia Terra Nova
-73.633,160.65,-33.5,0.00,Priestley Glacier
-73.517,169.75,0.9,0.00,Cape Phillips
-73.117,-13.15,-89.3,0.00,Wasa Eps
-72.2,-60.167,-3.1,0.00,Univ. Wi Id 8902 (Butler Island)
-72.017,2.533,-10.9,0.00,Troll In Antarktis
-71.883,171.2,9.4,0.00,Possession Is
-71.7,-2.8,-16.8,0.00,S.A.N.A.E. Aws
-71.65,148.65,-28.5,0.00,Sitry Point
-71.317,-68.283,27.7,0.00,Fossil Bluff
-71.15,-6.683,-4.6,0.00,Halvfarryggen (Ep11)
-70.9,69.867,-23.2,0.00,G3
-70.767,11.75,4.8,0.00,Maitri
-70.767,11.833,6.0,0.00,Novolazarevskaja
-70.667,-8.25,-20.1,0.00,Neumayer
-69.75,73.7,-5.3,0.00,Druzhnaja-4
-69.383,76.383,5.4,0.00,Progress
-69.0,39.583,21.2,0.00,Syowa
-68.583,77.967,0.9,0.00,Davis
-68.117,-67.133,35.2,0.03,Base San Martin
-67.667,45.85,19.4,0.00,Molodeznaja
-67.6,62.867,-0.3,0.00,Mawson
-67.567,-68.117,32.0,0.00,Rothera
-66.7,111.5,3.0,0.00,Casey (Upper Peterson Runway)
-66.683,111.533,0.3,0.00,Wilkins Runway East
-66.667,140.017,21.2,0.00,Dumont D'Urville
-66.55,93.017,7.1,0.00,Mirnyj
-66.55,107.75,7.9,0.00,Snyder Rocks
-66.283,110.533,3.8,0.00,Casey
-66.283,110.767,6.0,0.00,Casey Skiway South
-66.267,100.75,9.8,0.00,Oazic Bangera
-65.25,-64.267,31.3,0.51,Vernadsky
-64.766,-64.083,34.6,0.20,Palmer Station
-64.233,-56.717,33.8,0.00,Base Marambio (Centro Met. Antartico)
-63.4,-56.983,36.9,0.00,Base Esperanza
-63.317,-56.683,31.1,0.00,Base Bernardo O'Higgins
-62.5,-59.683,33.2,0.83,Base Arturo Prat
-62.233,-58.633,35.1,0.00,Base Carlini
-62.217,-58.967,32.8,0.09,Great Wall
-62.217,-58.75,33.6,0.01,King Sejong
-62.183,-58.983,32.1,0.04,Centro Met. Antartico Pdte. Eduardo Frei
-62.183,-58.883,32.1,0.08,Bellingshausen Aws
-62.183,-58.85,33.1,0.20,Dinamet-Uruguay
-60.733,-44.733,29.6,0.00,Base Orcadas
-56.475,-68.73,44.8,0.01,Isla Diego Ramirez
-54.843,-68.296,45.3,0.00,Ushuaia Malvinas Argentinas
-54.499,158.937,45.2,0.01,Macquarie Island
-54.283,-36.5,29.9,0.00,Grytviken
-54.0,-38.05,35.1,0.00,Bird Island
-53.778,-67.749,45.0,0.00,Rio Grande
-53.1,73.717,36.4,0.00,Heard Island (The Spit)
-53.003,-70.855,44.2,0.00,Carlos Ibanez Del Campo Intl
-52.55,169.15,47.5,0.08,Cambell Island Aws
-52.433,-59.083,42.7,0.00,Sea Lion Island
-51.9,-60.917,45.3,0.00,Weddell Island
-51.823,-58.447,41.6,0.00,Mount Pleasant
-51.671,-72.528,38.6,0.00,Teniente Julio Gallardo
-51.609,-69.313,48.6,0.00,Rio Gallegos
-51.317,-59.6,41.1,0.00,Pebble Island
-50.483,166.3,46.6,0.00,Enderby Island Aws
-50.267,-72.05,46.7,0.00,El Calafate Aero
-49.35,70.25,40.2,0.20,Port-Aux-Francais (Iles Kerguelen)
-49.307,-67.803,53.2,0.00,San Julian
-47.267,167.45,49.3,0.57,South West Cape Aws
-46.875,37.86,47.3,0.00,Marion Island
