lat,lon,temp,precip,name
-90.0,0.0,-59.3,0.00,Amundsen-Scott
-77.883,166.733,-18.5,0.00,Mcmurdo Sound Naf
-74.767,-136.8,11.3,0.04,Russkaja
-68.117,-67.133,15.8,0.00,Base San Martin
-67.667,45.85,9.9,0.00,Molodeznaja
-67.6,62.883,10.8,0.00,Mawson Aus-Base   &
-66.55,93.017,0.5,0.00,Mirnyj
-66.283,110.533,10.9,0.00,Casey
-64.883,-62.883,21.9,0.00,Brown Arg-Base
-64.233,-56.717,9.4,0.00,Base Marambio (Centro Met. Antartico)
-64.15,-60.95,20.3,0.00,Primavera Arg-Base
-63.4,-56.983,17.6,0.00,Base Esperanza
-63.317,-57.9,20.3,0.00,Bernardo O`Higgins
-62.5,-59.683,29.2,0.00,Prat Chi-Base
-62.25,-58.933,23.5,0.02,Frei Chi-Base
-60.733,-44.733,21.6,0.20,Base Orcadas
-56.475,-68.73,35.9,0.01,Isla Diego Ramirez
-54.933,-67.633,35.0,0.00,Puerto Williams
-54.843,-68.296,35.6,0.00,Ushuaia Malvinas Argentinas
-54.499,158.937,43.9,0.00,Macquarie Island
-53.778,-67.749,33.1,0.00,Rio Grande
-53.003,-70.855,38.6,0.00,Carlos Ibanez Del Campo Intl
-52.55,169.15,50.0,0.04,Campbell Island
-52.4,-75.1,43.6,0.00,Islotes Evangelistas
-51.609,-69.313,41.6,0.00,Rio Gallegos
-50.333,-72.3,44.6,0.00,Lago Argentino Arpt
-50.017,-68.579,43.3,0.00,Santa Cruz
-49.35,70.25,41.0,0.04,Port-Aux-Francais (Iles Kerguelen)
-49.307,-67.803,42.0,0.00,San Julian
-48.783,-70.167,43.5,0.00,Gobernador Gregores
-47.735,-65.904,46.6,0.00,Puerto Deseado
-46.875,37.86,40.7,0.00,Marion Island
-46.517,-71.017,41.4,0.00,Perito Moreno Arpt
-46.412,168.313,51.8,0.08,Invercargill
-46.167,166.633,52.5,1.02,Puysegur Pt (Lgt-H)
-45.916,-71.689,35.0,0.00,Balmaceda
-45.785,-67.466,46.8,0.00,Comodoro Rivadavia
-45.767,170.733,53.0,0.00,Taiaroa Head
-45.4,-72.7,42.1,0.00,Puerto Aysan / Cabo Juan Roman
-43.867,169.0,52.3,0.00,Haast Aws
-43.817,-68.883,49.3,0.00,Paso De Indios
-43.81,-176.457,55.0,0.04,Chatham Islands
-43.5,147.15,47.8,0.31,Cape Bruny Lighthouse
-43.489,172.532,60.3,0.00,Christchurch Intl
-43.211,-65.27,49.7,0.00,Almirante Zar
-42.908,-71.139,41.3,0.00,Esquel
-42.883,147.333,46.1,0.00,Hobart (Ellerslie Road)
-42.836,147.51,46.2,0.00,Hobart
-42.717,170.983,53.3,0.00,Hokitika Aerodrome
-42.15,145.283,45.1,0.00,Strahan Aerodrome
-41.75,171.6,58.5,0.00,Westport Harbour
-41.545,147.214,39.4,0.00,Launceston
-41.439,-73.094,49.1,0.00,El Tepual Intl
-41.3,173.217,51.8,0.00,Nelson Aerodrome
-41.283,174.767,58.2,0.08,Wellington
-41.151,-71.158,49.7,0.00,San Carlos De Bariloche
-41.0,148.35,50.3,0.00,Larapuna (Eddystone Point)
-40.869,-63.0,53.5,0.00,Gobernador Castello
-40.783,-65.1,55.9,0.02,San Antonio Oeste Aero
-40.55,173.0,58.1,0.00,Farewell Spit Aws
-40.35,-9.883,59.3,0.00,Gough Island
-40.206,175.388,58.0,0.04,Ohakea
-39.933,143.85,50.9,0.00,King Island Currie
-39.65,-73.086,55.0,0.12,Pichoy
-39.467,175.683,50.7,0.04,Waiouru
-39.467,176.867,60.8,0.02,Napier/Airport
-39.117,146.417,54.1,0.00,Wilsons Promontory Lighthouse
-39.017,-64.083,53.6,0.28,Rio Colorado
-39.017,174.183,59.3,0.00,New Plymouth Aerodr
-38.949,-68.156,51.1,0.00,Presidente Peron
-38.85,143.517,52.3,0.00,Cape Otway Lighthouse
-38.767,-72.637,59.8,0.01,Maquehue
-38.725,-62.169,53.1,0.16,Comandante Espora
-38.667,177.983,55.0,0.39,Gisborne Aerodrome
-38.483,-58.833,58.1,0.00,Necochea Airport
-38.387,-60.33,55.4,0.00,Tres Arroyos
-38.367,-73.9,58.2,0.20,Isla Mocha
-38.099,147.149,48.7,0.00,East Sale
-37.934,-57.573,51.0,0.00,Mar Del Plata
-37.867,144.75,52.0,0.00,Laverton Raaf
-37.817,144.967,53.4,0.00,Melbourne Regional Office
-37.8,77.533,60.5,0.00,Martin De Vivies (Ile Amsterdam)
-37.733,140.783,48.4,0.00,Mount Gambier Aero
-37.7,178.55,61.5,0.00,East Cape (Aut)
-37.667,144.85,50.2,0.00,Melbourne Intl Arpt
-37.6,-62.383,51.8,0.12,Pigue Airport
-37.567,149.9,56.6,0.00,Gabo Island Lighthouse
-37.517,143.783,42.5,0.00,Ballarat Aerodrome
-37.433,-61.883,52.2,0.02,Coronel Suarez Aero
-37.237,-59.228,49.5,0.00,Tandil
-37.235,-57.029,60.8,0.00,Villa Gesell
-37.008,174.792,61.6,0.02,Auckland Intl
-36.773,-73.063,57.2,0.88,Carriel Sur Intl
-36.75,-59.833,55.4,0.00,Azul Airport
-36.588,-64.276,52.6,0.31,Santa Rosa
-36.317,141.633,54.0,0.00,Nhill Aerodrome
-35.845,-61.858,55.8,0.00,Comodoro P Zanni
-35.696,-63.758,55.1,0.71,General Pico
-35.494,-69.574,48.7,0.00,Malargue
-35.417,149.1,50.8,0.00,Tuggeranong Isabella Plains
-35.367,-57.283,57.5,0.00,Punta Indio B.A.
-35.333,136.117,61.7,0.00,Neptune Island
-35.307,149.195,49.0,0.00,Canberra
-35.165,147.466,48.2,0.00,Wagga Wagga
-35.067,173.283,58.7,0.00,Kaitaia Aerodrome
-34.972,-57.895,60.8,0.00,La Plata
-34.967,-71.217,57.2,0.63,Curico/Gen Freire
-34.967,-54.95,60.4,0.08,Punta Del Este
-34.95,138.533,58.7,0.00,Adelaide
-34.949,150.537,58.9,0.00,Nowra
-34.945,138.531,59.0,0.00,Adelaide Intl
-34.941,117.802,67.3,0.00,Albany Airport
-34.917,138.617,59.9,0.00,Kent Town
-34.838,-56.031,55.2,0.00,Carrasco Intl
-34.833,20.017,60.4,0.08,Cape Agulhas
-34.822,-58.536,57.8,0.00,Ministro Pistarini
-34.61,-58.613,60.8,0.00,El Palomar
-34.588,-68.403,57.5,0.00,San Rafael
-34.559,-58.416,62.5,0.00,Aeroparque Jorge Newbery
-34.546,-60.931,56.0,0.00,Junin
-34.501,-58.604,62.2,0.00,Don Torcuato
-34.483,-54.3,55.0,0.00,Rocha
-34.456,-57.771,56.9,0.00,Laguna De Los Patos Intl
-34.433,172.683,63.1,0.00,Cape Reinga
-34.367,115.133,69.3,0.00,Cape Leeuwin
-34.183,22.15,63.1,0.24,Mossel Bay (Lgt-H)
-34.135,-63.362,55.1,0.00,Laboulaye
-34.006,22.379,59.3,0.24,George
-34.0,137.533,64.4,0.00,Warburto Point
-33.985,25.617,62.1,0.20,Port Elizabeth Intl / Chief Dawid Stuurman Intl
-33.965,18.602,61.1,0.00,Cape Town Intl
