lat,lon,temp,precip,name
-42.883,147.333,49.3,0.00,Hobart (Ellerslie Road)
-42.199,145.17,48.2,0.01,Cape Sorell
-42.02,147.8,48.3,0.00,Lake Leake Chalet
-41.545,147.214,45.0,0.00,Launceston
-38.099,147.149,53.3,0.08,East Sale
-37.867,144.75,55.0,0.00,Laverton Raaf
-37.733,140.783,51.7,0.00,Mount Gambier Aero
-37.733,144.9,53.3,0.00,Essendon Airport
-37.728,144.902,53.3,0.02,Melbourne Essendon
-35.517,138.817,55.9,0.04,Hindmarsh Island Aws
-35.307,149.195,49.3,0.04,Canberra
-35.165,147.466,54.9,0.20,Wagga Wagga
-34.793,138.633,55.8,0.00,Adelaide Parafield
-33.95,151.2,58.1,0.00,Sydney Intl Airport
-33.946,151.177,58.1,0.00,Sydney Intl
-32.795,151.834,63.0,0.00,Williamtown
-32.233,126.3,56.2,0.00,Eyre
-32.133,133.7,58.0,0.00,Ceduna Amo
-31.94,115.967,63.9,0.00,Perth Intl
-31.933,115.967,63.9,0.00,Perth Intl/Belmont
-31.917,115.867,65.2,0.00,Perth Metro
-31.542,159.079,72.2,0.01,Lord Howe Island Aero
-31.144,136.817,57.5,0.00,Woomera
-30.833,128.1,56.9,0.00,Forrest Airport
-30.789,121.462,58.8,0.00,Kalgoorlie Boulder
-30.47,138.42,56.2,0.00,Leigh Creek Aero
-30.321,153.116,60.7,0.00,Coffs Harbour
-29.042,167.939,69.0,2.95,Norfolk Island Intl
-28.796,114.708,71.8,0.00,Geraldton
-28.705,121.891,54.4,0.24,Murrin Murrin
-27.55,135.45,58.1,0.00,Oodnadatta Airport
-27.483,153.033,69.2,0.00,Brisbane
-27.417,153.067,67.7,0.02,Brisbane Airport
-27.383,153.117,67.7,0.00,Brisbane Intl Arpt
-26.614,118.537,64.3,0.00,Meekatharra Airport
-26.413,146.263,56.7,0.00,Charleville
-24.888,113.67,76.7,0.00,Carnarvon Airport
-23.807,133.902,56.1,0.00,Alice Springs
-23.8,133.917,55.9,0.00,Alice Springs Arpt
-23.382,150.475,70.4,0.02,Rockhampton
-23.007,-47.135,60.6,0.00,Viracopos
-22.875,-43.385,67.0,0.00,Campo Delio Jardim De Mattos
-21.67,115.12,76.6,0.00,Onslowamo
-21.633,115.117,76.6,0.00,Onslow
-20.667,140.5,69.9,0.00,Cloncurry Airport
-20.469,-54.673,63.1,0.00,Campo Grande
-20.378,118.626,80.0,0.00,Port Hedland Intl
-19.851,-43.951,67.3,0.00,Pampulha Carlos Drummond De Andrade
-19.253,146.765,78.4,0.00,Townsville
-19.25,146.767,78.3,0.00,Townsville(Civ/Mil)
-18.783,168.817,73.8,0.04,Erromango Island
-18.233,127.667,81.4,0.00,Halls Creek Airport
-17.945,122.232,84.6,0.00,Broome Intl
-17.75,168.3,77.6,0.00,Port Vila/Bauerfld
-16.886,145.755,80.7,0.00,Cairns Intl
-16.883,145.767,80.6,0.00,Cairns Airport
-16.513,-68.192,47.2,0.00,El Alto Intl
-16.288,149.965,81.0,0.00,Willis Island
-16.27,133.38,80.2,0.00,Dalywatersamo
-16.25,133.367,80.3,0.00,Daly Waters Aws
-13.85,167.55,81.0,0.04,Sola/Vanua Lava Isl
-12.415,130.877,77.9,0.00,Darwin Intl
-12.188,96.834,83.9,0.00,Cocos Keeling Islands
-11.9,-76.967,68.3,0.00,Linatakbc
-10.951,142.459,63.4,0.00,Bamaga Injinoo
-10.567,142.217,83.1,0.00,Thursday Island
-9.433,147.217,81.0,0.00,Port Moresby W.O.
-9.417,159.967,80.8,0.00,Honiara
-6.733,147.0,78.8,0.04,Lae
-5.217,145.8,77.8,0.02,Madang W.O.
-4.2,152.183,82.6,0.00,Rabaul
-2.767,-171.717,83.6,0.00,Canton Island
-2.067,147.433,79.8,1.61,Momote/Manus Island
-1.379,-48.476,78.4,0.00,Val De Cans Julio Cezar Ribeiro Intl
2.067,-50.85,80.1,0.00,Amapa
7.187,100.608,83.4,0.00,Songkhla
7.333,134.483,83.8,0.00,Koror Wso
7.45,151.833,80.6,0.00,Chuuk Wso Ap
8.967,-79.55,82.8,0.00,Albrook Afb/Balboa
9.367,-79.9,81.2,0.00,Coco Solo
9.483,138.083,83.4,0.00,Yap Island Wso Ap
10.683,-61.617,80.8,0.00,Trinidad Bwi
11.35,162.35,82.9,0.00,Enewetak  Marshall Is
13.157,123.746,81.0,0.00,Legazpi
13.483,144.8,80.1,0.00,Guam Wfo
13.567,144.917,79.2,0.00,Andersen Afb
13.913,100.607,85.1,0.00,Bangkok Intl / Don Mueang Intl
14.033,-61.017,77.0,0.26,Castries
14.5,120.9,85.7,0.00,Sangley Point
14.509,121.02,83.5,0.00,Ninoy Aquino Intl
14.817,120.283,88.4,0.00,Olongapo
15.186,120.56,83.1,0.00,Clark Intl / Diosdado Macapagal Intl
16.267,122.133,79.6,0.00,Casiguran
16.733,-169.533,78.1,0.00,Johnston Atoll Airport
16.733,-169.517,77.8,0.00,Johnston Island
17.283,-62.733,81.2,0.51,Basseterre
17.386,102.788,82.0,0.71,Udon Thani
17.7,-64.813,79.3,0.00,Christiansted Hamilton Field
17.967,-66.4,77.9,0.00,Ponce Santa Isabel
18.433,-69.883,77.1,0.75,Santo Domingo
18.467,-66.117,76.3,0.00,San Juan Ns
18.467,-66.1,76.3,0.00,San Juan City
18.5,-67.133,76.9,0.00,Aquadilla/Borinquen
18.767,98.963,83.1,1.02,Chiang Mai Intl
19.283,166.65,79.7,0.00,Wake Island
19.467,103.133,65.6,0.00,Plaine Des Jarres (Xiengkhouang)
19.719,-155.053,70.2,0.00,Hilo International Ap
19.758,-70.57,75.9,0.00,Gregorio Luperon Intl
19.9,-75.15,78.4,0.00,Guantanamo Bay Naval Air Station
19.97,-75.835,80.7,0.00,Antonio Maceo Intl
20.833,-156.467,71.1,0.00,Puunene Caa Ap
21.317,-158.067,72.7,0.00,Barbers Point
21.324,-157.929,73.3,0.00,Honolulu International Airport
21.42,-77.848,74.8,0.00,Ignacio Agramonte Intl
21.984,-159.341,72.6,0.00,Lihue Airport
22.041,120.73,72.7,0.00,Hengchun
22.15,-80.414,78.5,0.00,Jaime Gonzalez
22.15,113.592,65.3,0.02,Macau Intl
22.3,114.167,66.5,0.01,Hong Kong Observatory
22.633,120.283,73.2,0.00,Kaohsiung
22.793,121.182,69.1,0.00,Jhihhang
22.95,120.206,69.3,0.00,Tainan
22.989,-82.409,75.5,0.12,Jose Marti Intl
23.462,120.393,67.6,0.00,Chiayi
23.517,120.8,51.6,0.00,Ali Shan
23.767,-98.2,70.7,0.00,Soto La Marina   Tamps.
24.023,121.618,67.5,0.00,Hualien
24.265,120.621,63.8,0.00,Taichung Intl / Ching Chuang Kang Ab
24.555,-81.752,77.1,0.00,Key West Intl Arpt
24.583,-81.683,77.1,0.00,Key West Nas
24.75,121.767,64.2,0.00,Ilan
24.784,141.323,76.8,0.00,Iwoto
25.056,121.243,63.9,0.00,Taoyuan
25.069,121.552,64.3,0.00,Songshan
25.267,-76.3,73.1,0.00,Eleuthera Island
25.568,-103.411,71.0,0.00,Torreon Intl
25.791,-80.316,76.0,0.00,Miami Intl Ap
25.914,-97.423,69.2,0.00,Brownsville/S Padre Island Intl Ap
26.196,127.646,69.5,0.00,Naha
26.265,50.152,75.4,0.00,King Abdulaziz Ab
26.35,127.767,67.3,0.00,Kadena Ab
26.356,127.768,67.3,0.00,Kadena Ab
26.383,127.75,67.5,0.00,Kadena Northwest
26.585,-81.861,74.7,0.00,Fort Myers Page Field
26.617,-78.367,75.3,0.00,Gold Rock Creek
26.685,-80.099,75.4,0.00,West Palm Beach Intl Arpt
26.956,-101.47,64.5,0.43,Monclova Intl
27.5,-97.817,69.5,0.00,Kingsville
27.544,-99.461,72.1,0.00,Laredo Air Force Base
27.653,-80.243,74.2,0.00,Vero Beach Municipal Arpt
27.683,-97.283,69.1,0.00,Corpus Christi Nas
27.7,-97.433,66.8,0.00,Corpus Christi Cabaniss Naas
27.741,-98.025,68.6,0.00,Alice International Arpt
27.774,-97.512,67.4,0.00,Corpus Christi International Airport
27.85,-82.517,75.4,0.00,Mac Dill Afb Airport
27.917,-110.883,72.9,0.00,Guaymas-In-Sonora
27.962,-82.54,73.4,0.00,Tampa Intl Arpt
28.101,-80.644,78.3,0.00,Melbourne Regional Ap
28.2,-177.383,72.1,0.00,Henderson Field Airport
28.233,-80.6,74.8,0.00,Patrick Afb Airport
28.457,-99.218,71.9,0.00,Cotulla Faa Ap
28.483,-80.567,73.7,0.00,Cocoa Beach Cape Kennedy Afs
28.545,-81.333,75.0,0.00,Orlando Municipal Arpt
28.633,-106.083,56.5,0.43,Chihuahua  Chih.
28.725,-96.254,63.4,0.00,Palacios Municipal Airport
28.78,-81.244,75.1,0.00,Sanford Airport
28.783,-97.083,66.4,0.00,Victoria
29.096,-111.048,76.0,0.00,General Ignacio P Garcia Intl / Hermosillo Intl
29.17,-118.32,61.7,0.00,Isla Guadalupe
29.183,-81.048,73.1,0.00,Daytona Beach Regional Arpt
29.233,56.567,72.7,0.00,Baft
29.267,-100.283,60.3,0.00,Del Rio(Nexrad)
29.273,-94.859,66.2,0.00,Galveston Scholes Field
29.35,-98.45,66.3,0.00,Brooks Afb
29.378,-100.927,72.8,0.00,Del Rio International Airport
29.383,-98.583,67.3,0.00,Lackland Air Force Base (Kelly Field Annex)
29.533,-98.262,65.3,0.00,Randolph Afb Airport
29.544,-98.484,64.6,0.00,San Antonio International Airport
29.617,-95.167,63.7,0.00,Ellington Field Airport
29.633,-95.267,64.3,0.00,William P Hobby
29.633,-83.105,71.3,0.00,Cross City Airport
29.638,-95.282,64.0,0.00,Houston William P Hobby Ap
29.883,-97.867,62.5,0.00,San Marcos Gary Afb
29.883,-97.866,62.9,0.00,San Marcos Tx/Edward Gary Afb
29.951,-94.021,63.6,0.00,Port Arthur Jefferson County
29.997,-90.278,68.3,0.00,Louis Armstrong New Orleans Intl Ap
30.033,-90.083,72.6,0.00,New Orleans Nas
30.049,-90.029,73.0,0.00,Lakefront Airport
30.067,-85.583,72.1,0.00,Tyndall Afb Airport
30.125,-93.228,65.4,0.00,Lake Charles Regional Airport
30.183,-97.68,63.0,0.00,Austin-Bergstrom Intl Airport
30.2,-97.683,63.3,0.00,Bergstrom Afb/Austi
30.205,-91.988,64.6,0.00,Lafayette Regional Airport
30.21,-93.143,65.1,0.00,Lake Charles Wb Airp
30.233,-81.667,73.4,0.00,Jacksonville Nas
30.321,-97.76,61.5,0.00,Austin Mueller Municipal Ap
30.35,-87.317,74.1,0.00,Pensacola Nas
30.35,-87.267,70.8,0.00,Pensacola Chevalier Fld Nas
30.367,-89.45,72.0,0.00,Bay Saint Louis
30.371,-104.017,59.2,0.00,Marfa
30.371,48.228,74.4,0.00,Abadan
30.393,-84.353,70.5,0.00,Tallahassee Dale Mabry Field
30.4,-87.283,73.8,0.00,Pensacola Corry Fld Naas
30.417,-88.917,69.3,0.00,Keesler Air Force Base
30.478,-87.187,73.5,0.00,Pensacola Regional Ap
30.483,-87.35,73.2,0.00,Pensacola Saufley Nas
30.483,-86.517,72.3,0.00,Eglin Afb Airport
30.495,-81.694,73.8,0.00,Jacksonville International Airport
30.511,-99.766,62.7,0.00,Junction
30.533,-87.2,76.3,0.00,Pensacola Ellyson Fld Naas
30.537,-91.147,64.9,0.00,Baton Rouge Ryan Arpt
30.549,47.662,71.8,0.00,Basrah Intl
30.589,-96.365,60.2,0.00,College Station Easterwood Fl
30.626,-88.068,69.7,0.00,Mobile Downtown Airport
30.667,-96.55,61.5,0.00,Varisco Airfield
30.688,-88.246,67.8,0.00,Mobile Regional Ap
30.78,-86.523,70.6,0.00,Crestview Bob Sikes Ap
30.783,-83.277,70.7,0.00,Valdosta Regional Airport
30.836,-85.184,70.0,0.00,Marianna Municipal Ap
30.967,-83.2,70.2,0.00,Moody Afb/Valdosta
31.067,-97.833,60.4,0.00,Robert Gray Aff Airport
31.152,-81.391,72.2,0.00,Brunswick Malcolm Mckinnon Ap
31.183,-90.471,61.5,0.00,Mccomb Pike County Ap
31.233,-85.433,69.9,0.00,Dothan Municipal Ap
31.236,-94.754,59.4,0.00,Lufkin Angelina Co
31.25,-81.467,72.2,0.00,Brunswick Glynn Co A
31.317,-92.55,62.1,0.00,Alexandria Int
31.352,-100.495,62.7,0.00,San Angelo Regional/Maths Field Ap
31.395,-92.291,62.5,0.00,Esler Regional Airport
31.4,-100.4,62.4,0.00,San Angelo Goodfellow Afb
31.417,-87.033,68.9,0.00,Evergreen Intermediate Fld
31.458,-109.606,59.5,0.00,Douglas Municipal Ap
31.536,-84.194,71.3,0.00,Albany Municipal Ap
31.536,-82.507,70.6,0.00,Alma Bacon County Ap
31.619,-97.228,61.9,0.00,Waco Regional Airport
31.633,-97.067,61.5,0.00,Waco James Connally Afb
31.667,-116.567,56.6,0.00,Ensenada Bc
31.75,-105.083,65.9,0.00,Salt Flat
31.78,-103.202,66.0,0.00,Winkler County Airport
31.811,-106.376,64.6,0.00,El Paso International Airport
31.833,-107.65,61.3,0.00,Columbus Muni
31.833,-107.633,61.0,0.00,Columbus
31.833,-106.4,65.1,0.00,Biggs Afb
31.865,35.219,63.1,0.00,Jerusalem
31.867,23.9,75.0,0.00,Tobruk
31.933,-108.983,61.9,0.00,Rodeo
31.948,-102.209,63.3,0.00,Midland International Airport
31.95,44.95,68.0,0.00,Diwaniya
32.009,-81.146,70.9,0.00,Hunter Aaf
32.011,34.887,63.4,0.00,Ben Gurion
32.1,34.783,63.5,0.00,Tel Aviv /Port
32.117,-7.883,64.8,0.00,Ben Guerir Air Base
32.131,-110.955,66.3,0.00,Tucson International Ap
32.131,-81.202,70.8,0.00,Savannah/Hilton Head Intl Airport
32.167,-110.883,65.8,0.00,Davis-Monthan Afb Airport
32.233,-101.5,62.3,0.00,Big Spring
32.267,-64.85,69.4,0.00,Little Sound
32.283,-106.917,66.6,0.00,Las Cruces Intl
32.3,-86.408,67.0,0.00,Montgomery Dannelly Field
32.321,-90.078,60.3,0.00,Jackson International Airport
32.333,-90.233,59.9,0.00,Jackson 4 Nw
32.334,-104.258,64.8,0.00,Cavern City Air Trml Arpt
32.335,-88.744,63.7,0.00,Meridian Key Field
32.35,-95.4,59.5,0.00,Tyler Pounds Rgnl
32.35,-86.983,68.6,0.00,Craig Fld
32.35,-85.0,68.3,0.00,Lawson Aaf Airport
32.35,-8.783,61.6,0.00,El Djema Sahim
32.354,-95.403,59.1,0.00,Tyler Pounds Field
32.367,-64.683,69.7,0.00,Naval Atlantic Meterology & Oceanography Facility
32.383,-86.35,68.0,0.94,Maxwell Afb Airport
32.411,-99.682,59.3,0.00,Abilene Regional Airport
32.447,-93.824,62.3,0.00,Shreveport Regional Arpt
32.5,-93.667,62.9,0.00,Barksdale Air Force Base
32.516,-92.041,61.1,0.00,Monroe Regional Airport
32.516,-84.942,68.4,0.00,Columbus Metro Airport
32.567,-117.117,59.6,0.00,Imperial Beach Ream Field Nas
32.633,-106.4,66.6,0.00,White Sands Missile Range Site No.39
32.633,-83.6,69.8,0.00,Robins Afb Airport
32.667,-114.6,75.4,0.00,Yuma Intl Arpt
32.667,35.183,62.7,0.00,Ramat-David
32.685,-83.653,69.7,0.00,Macon Middle Ga Regional Ap
32.693,-103.213,61.4,0.00,Lea County Regional Airport
32.7,-117.2,58.4,0.28,North Island Nas
32.733,-96.967,61.1,0.00,Naval Air Station Operations
32.734,-117.183,58.5,0.00,San Diego Lindbergh Field
32.767,-97.45,61.3,0.00,Fort Worth Naval Air Station Jrb/Carswell Field
32.782,-98.06,59.8,0.00,Mineral Wells Airport
32.817,-115.683,71.1,0.00,El Centro Naf
32.819,-97.361,60.0,0.00,Fort Worth Meacham
32.85,-106.1,67.7,0.00,Holloman Afb
32.852,-96.856,60.5,0.00,Dallas Love Field Airport
32.867,-117.133,55.3,0.00,San Diego Miramar Nas
32.883,-112.717,75.2,0.00,Gila Bend Af Aux
32.899,-80.041,69.1,0.71,Charleston Afb/International Airport
32.9,13.283,62.2,0.35,Wheelus Fld
33.023,-118.588,53.2,0.00,Nalf/F. Sherman Fld Arpt
33.033,40.283,64.0,0.00,Rutbah
33.212,-87.616,65.8,0.00,Tuscaloosa Municipal Ap
33.221,-92.814,60.6,0.00,El Dorado Goodwin Field
33.237,-107.268,62.6,0.00,Truth Or Consequences Muni Ap
33.25,-119.45,55.4,0.00,San Nicholas Island
33.3,-111.667,73.2,0.00,Williams Gateway Airport
33.308,-104.508,63.8,0.00,Roswell International Air Center Ap
33.364,-81.963,70.6,0.00,Augusta Bush Field
33.367,-7.59,59.3,0.00,Mohammed V
33.4,-104.533,65.5,0.00,Roswell Muni Ap
33.405,-118.416,52.2,0.00,Santa Catalina Buffalo Spring
33.428,-112.004,73.3,0.00,Phoenix Sky Harbor Intl Ap
33.433,-112.367,75.5,0.00,Litchfield Park Naf
33.456,-93.988,61.0,0.00,Texarkana Regional Airport-Webb Field
33.496,-90.087,57.8,0.00,Greenwood Municipal Ap
33.517,126.533,50.9,0.00,Jeju
33.55,-112.367,72.7,0.00,Luke Afb Airport
33.566,-86.745,63.5,0.00,Birmingham Municipal Ap
33.586,130.451,52.0,0.00,Fukuoka
33.587,-85.856,63.2,0.00,Anniston Calhoun Co Ap
33.6,-102.05,58.8,0.00,Reese Afb/Lubbock
33.617,-7.117,60.7,0.00,Boulhaut
33.619,-114.714,76.6,0.00,Blythe Riverside Co
33.627,-116.159,71.4,0.00,Palm Springs Thermal Ap
33.63,-84.442,64.6,0.00,Atlanta Hartsfield Intl Ap
33.633,130.5,54.3,0.00,Brady
33.666,-101.823,57.3,0.00,Lubbock International Airport
33.667,-117.733,56.0,0.00,El Toro Mcas
33.667,131.033,52.6,0.00,Yukuhashi
33.683,-78.933,67.5,0.00,Myrtle Beach Intl Airport
33.7,-117.833,59.3,0.00,Marine Corps Air Station
33.783,-118.05,57.1,0.00,Los Alamitos
33.812,-118.146,58.9,0.00,Long Beach / Daugherty Field / Airport
33.812,-78.724,67.2,0.00,North Myrtle Beach Airport
33.867,-84.3,67.0,0.00,Atlanta Nas
33.883,130.653,53.9,0.00,Ashiya
33.9,-117.25,53.8,0.00,March Air Reserve Base
33.917,-84.517,65.8,0.00,Dobbins Air Reserve Base Airport
33.933,-116.967,50.9,0.00,Beaumont 1 E
33.938,-118.389,57.0,0.00,Los Angeles Municipal Arpt
33.942,-81.118,68.5,0.00,Columbia Metro Arpt
33.967,-80.467,66.6,0.00,Shaw Air Force Base
33.979,-98.493,57.9,0.00,Sheppard Afb/Wichita Falls Muni Ap
34.067,-117.65,55.3,0.00,Ontario
34.095,-117.235,56.1,0.00,San Bernardino International Airport
34.117,-119.117,54.7,0.00,Point Mugu Nf
34.175,-91.935,56.5,0.00,Pine Bluff
34.185,-79.724,67.5,0.00,Florence City County Ap
34.201,-118.358,54.6,0.00,Hollywood Burbank Arpt
34.233,-111.333,60.0,0.00,Payson
34.233,-6.05,62.5,0.00,Sidi Slimane
34.268,-77.9,68.2,0.00,Wilmington
34.3,-97.15,58.4,0.00,Ardmore Intermediate Fld
34.3,-97.017,58.7,0.00,Ardmore Municipal
34.3,-6.6,60.3,0.00,Port Lyautey
34.348,-85.161,69.1,0.00,Rome R B Russell Ap
34.35,45.383,64.5,0.00,Khanaqin
34.383,-103.317,56.4,0.00,Cannon Afb Airport
34.426,-119.843,53.8,0.00,Santa Barbara Municipal Ap
34.427,-100.283,57.3,0.00,Childress Municipal Ap
34.498,-82.71,65.8,0.00,Anderson County Ap
34.583,-117.383,55.6,0.00,Southern California Logistics Airport
34.608,-79.059,66.2,0.00,Lumberton Municipal Ap
34.629,-118.084,57.1,0.00,Palmdale Airport
34.65,-98.4,56.4,0.00,Henry Post Aaf Airport
34.652,-112.421,57.0,0.00,Prescott Municipal Ap
34.718,32.486,63.1,0.00,Pafos Intl
34.727,-92.239,56.4,0.00,Little Rock Adams Field
34.744,-118.724,42.9,0.00,Sandberg
34.744,-87.6,59.5,0.00,Muscle Shoals Regional Ap
34.75,-120.567,55.8,0.00,Vandenberg Afb
34.767,-82.383,62.0,0.00,Greenville Donaldson Afb
34.768,-114.619,75.8,0.00,Needles Airport
