lat,lon,temp,precip,name
33.9,-117.25,76.2,0.00,March Air Reserve Base
40.196,-76.772,63.5,0.00,Harrisburg Intl
43.567,-116.241,49.6,0.00,Boise Air Terminal/Gowen Fd Airport
48.133,11.55,45.3,0.20,Munich
48.186,10.861,47.3,0.00,Lechfeld
49.033,8.367,47.2,1.18,Karlsruhe (Usa-Af)
49.435,-2.602,49.0,0.00,Guernsey
49.499,11.078,45.6,0.79,Nurnberg
49.75,6.667,48.9,0.08,Trier/Petrisberg
49.933,-6.3,49.5,0.00,Scilly/St.Marys
49.95,-5.183,49.2,0.00,Lizard
50.026,8.543,51.0,0.28,Frankfurt Main
50.783,6.1,46.7,0.55,Aachen
50.866,7.143,49.8,0.39,Koln Bonn
50.98,10.958,48.6,0.20,Erfurt Weimar
51.083,1.017,44.3,0.00,Lympne
51.117,16.883,56.4,0.10,Wroclaw I
51.133,13.767,53.1,0.46,Dresden
51.35,-0.117,45.0,0.00,Purley Oaks
51.4,6.967,51.6,0.28,Essen/Mulheim
51.518,7.612,52.9,0.20,Dortmund
51.683,-5.167,48.5,0.00,St. Annes Head
51.933,-10.25,50.0,0.00,Valentia Observatory
52.117,11.583,53.6,0.03,Magdeburg
52.267,18.667,56.6,0.05,Kolo
52.461,9.685,53.7,0.57,Hannover
52.473,13.404,54.6,0.08,Tempelhof
52.583,1.717,46.8,0.00,Gorleston
53.317,-4.617,47.2,0.00,Holyhead
53.4,14.617,57.1,0.04,Szczecin
53.617,0.15,46.0,0.00,Spurn Head (Point)
53.63,9.988,53.2,0.00,Hamburg
53.717,7.15,52.6,0.12,Norderney Island
53.91,-8.818,49.2,0.00,Connaught / Ireland West
54.15,15.3,57.0,0.00,Mrzezyno
54.2,11.1,47.3,0.00,Dahmeshoved
54.383,10.15,52.0,0.00,Kiel/Holtenau(Gnvy)
54.89,20.593,57.0,0.00,Khrabrovo
55.017,-1.417,44.5,0.00,Tynemouth
55.367,-7.333,48.0,0.00,Malin Head
56.033,-3.133,45.8,0.00,Inchkeith
58.216,-6.331,46.2,0.02,Stornoway
59.8,30.263,42.0,0.00,Pulkovo
60.133,-1.183,45.2,0.00,Lerwick
