lat,lon,temp,precip,name
-90.0,0.0,-63.2,0.00,Amundsen-Scott
-84.6,-115.817,-21.0,0.00,Theresa
-80.37,77.37,-78.4,0.00,Dome Plateau Dome A
-78.45,106.867,-65.4,0.01,Vostok
-77.883,166.733,1.4,0.00,Nsfa Mcmurdo Sound
-77.867,-34.617,6.3,0.00,Base Belgrano Ii
-77.433,163.75,2.1,0.00,Marble Point
-76.717,162.967,4.9,0.00,Cape Ross
-76.42,77.02,-46.8,0.00,Dome Plateau Eagle
-75.533,145.867,-55.0,0.00,Mid Point
-75.117,123.367,-80.5,0.00,Dome C Ii
-75.1,123.4,-83.1,0.00,Concordia
-75.0,0.0,-45.1,0.00,Kohnen / Ep9
-74.7,164.1,14.2,0.00,Base Baia Terra Nova
-73.633,160.65,-37.2,0.00,Priestley Glacier
-73.517,169.75,4.4,0.00,Cape Phillips
-73.05,-13.383,11.6,0.00,Nordenskiold Base
-72.017,2.533,5.1,0.00,Troll In Antarktis
-71.883,171.2,9.9,0.00,Possession Is
-71.7,-2.8,5.7,0.00,S.A.N.A.E. Aws
-71.15,-6.683,-1.7,0.00,Halvfarryggen (Ep11)
-70.9,69.867,-5.0,0.00,G3
-70.767,11.833,11.9,0.00,Novolazarevskaja
-70.667,-8.25,10.1,0.00,Neumayer
-69.383,76.383,14.1,0.00,Progress
-69.367,76.367,13.0,0.00,Zhongshan
-69.0,39.583,4.1,0.00,Syowa
-68.583,77.967,13.3,0.00,Davis
-68.467,78.817,4.4,0.00,Davis (Whoop Whoop)
-68.117,-67.133,29.3,0.00,Base San Martin
-67.6,62.867,10.3,0.00,Mawson
-66.683,111.533,-7.7,0.00,Wilkins Runway East
-66.667,140.017,-3.2,0.00,Dumont D'Urville
-66.583,110.7,-2.4,0.00,Haupt Nunatak
-66.55,93.017,8.1,0.59,Mirnyj
-66.55,107.75,1.8,0.00,Snyder Rocks
-66.283,110.533,3.1,0.00,Casey
-64.766,-64.083,29.6,0.12,Palmer Station
-64.233,-56.717,20.8,0.00,Base Marambio (Centro Met. Antartico)
-63.4,-56.983,34.6,0.00,Base Esperanza
-63.317,-56.683,29.1,0.00,Base Bernardo O'Higgins
-62.5,-59.683,32.5,0.04,Base Arturo Prat
-62.233,-58.633,32.5,0.00,Base Carlini
-62.217,-58.967,33.0,0.04,Great Wall
-62.217,-58.75,32.2,0.02,King Sejong
-62.183,-58.983,31.5,0.00,Centro Met. Antartico Pdte. Eduardo Frei
-62.183,-58.883,31.1,0.05,Bellingshausen Aws
-62.183,-58.85,32.5,0.03,Dinamet-Uruguay
-60.733,-44.733,24.3,0.20,Base Orcadas
-56.475,-68.73,41.0,0.00,Isla Diego Ramirez
-54.843,-68.296,39.1,0.00,Ushuaia Malvinas Argentinas
-54.499,158.937,39.6,0.00,Macquarie Island
-53.778,-67.749,42.2,0.00,Rio Grande
-53.1,73.717,35.1,0.00,Heard Island (The Spit)
-53.003,-70.855,42.3,0.16,Carlos Ibanez Del Campo Intl
-52.55,169.15,44.1,0.28,Cambell Island Aws
-51.823,-58.447,42.2,0.00,Mount Pleasant
-51.686,-57.778,44.2,0.00,Stanley
-51.609,-69.313,44.8,0.00,Rio Gallegos
-50.483,166.3,45.2,0.15,Enderby Island Aws
-50.267,-72.05,46.8,0.12,El Calafate Aero
-49.35,70.25,40.5,0.02,Port-Aux-Francais (Iles Kerguelen)
-49.307,-67.803,54.0,0.00,San Julian
-47.267,167.45,55.6,0.00,South West Cape Aws
-46.875,37.86,53.9,0.01,Marion Island
-46.433,51.85,50.6,0.01,Alfred Faure (Iles Crozet)
-46.417,168.333,61.6,0.01,Invercargill Airport Aws
-46.15,166.6,60.3,0.24,Puysegur Point Aws
-45.917,170.183,65.3,0.00,Dunedin Aerodrome Aws
-45.916,-71.689,54.3,0.01,Balmaceda
-45.785,-67.466,66.0,0.00,Comodoro Rivadavia
-45.217,166.883,60.2,0.55,Secretary Island Aws
-45.017,168.733,59.1,0.00,Queenstown Aerodrome
-44.3,171.233,58.2,0.01,Timaru Aerodrome Aws
-43.867,169.0,60.7,0.15,Haast Aws
-43.817,-176.483,55.1,0.00,Chatham Island Aerodrome Aws
-43.65,146.267,47.8,0.01,Maatsuyker Island Lighthouse
-43.489,172.532,63.5,0.00,Christchurch Intl
-43.483,147.15,48.8,0.08,Cape Bruny (Cape Bruny)
-43.483,172.517,63.6,0.01,Christchurch Aero Aws
-43.233,148.0,48.1,0.03,Tasman Island
-43.211,-65.27,65.5,0.00,Almirante Zar
-43.2,146.767,37.7,0.02,Hartz Mountains
-43.067,146.7,42.7,0.03,Warra
-43.067,147.35,50.7,0.00,Dennes Point
-43.05,146.267,43.6,0.01,Scotts Peak Dam
-42.983,145.5,50.9,0.08,Low Rocky Point (Aws)
-42.983,147.067,48.3,0.00,Grove (Research Station)
-42.908,-71.139,54.0,0.00,Esquel
-42.9,147.233,33.9,0.08,Mt Wellington
-42.9,147.783,51.7,0.02,Dunalley (Stroud Point)
-42.883,147.333,49.7,0.00,Hobart (Ellerslie Road)
-42.836,147.51,50.8,0.00,Hobart
-42.717,146.9,49.9,0.02,Bushy Park (Bushy Park Estates)
-42.717,170.983,60.6,0.00,Hokitika Aerodrome
-42.683,147.417,49.8,0.01,Campania (Kinkora)
-42.667,148.017,52.4,0.00,Maria Island (Point Lesueur)
-42.483,146.717,50.2,0.08,Ouse Fire Station
-42.45,147.467,44.2,0.04,Tunnak Fire Station
-42.417,173.7,65.3,0.00,Kaikoura
-42.333,-73.717,54.0,0.00,Mocopulli Arpt
-42.283,146.283,43.6,0.00,Butlers Gorge
-42.199,145.17,52.7,0.00,Cape Sorell
-42.15,145.283,51.1,0.01,Strahan Aerodrome
-42.0,148.283,51.3,0.01,Friendly Beaches
-41.943,-71.532,54.1,0.00,El Bolson
-41.9,146.667,40.5,0.00,Liawenee Aws
-41.85,145.533,36.4,0.20,Mount Read
-41.733,147.083,52.0,0.01,Cressy Research Station
-41.733,171.567,62.7,0.02,Westport Aerodrome
-41.717,174.267,60.3,0.00,Cape Campbell Aws
-41.633,147.967,50.7,0.01,Fingal (Legge Street)
-41.55,147.217,51.6,0.00,Launceston Airport
-41.545,147.214,51.9,0.00,Launceston
-41.439,-73.094,50.3,0.00,El Tepual Intl
-41.417,147.117,55.5,0.00,Launceston (Ti Tree Bend)
-41.383,146.317,51.6,0.00,Sheffield School Farm
-41.333,148.267,53.6,0.00,St Helens Aerodrome
-41.333,174.8,61.9,0.00,Wellington Aero Aws
-41.327,174.805,62.0,0.00,Wellington Intl
-41.3,173.2,61.7,0.01,Nelson Aerodrome Aws
-41.25,-68.733,51.4,0.00,Maquinchao
-41.167,146.417,56.0,0.24,Devonport Airport
-41.167,147.483,52.6,0.24,Scottsdale ( West Minstone Road)
-41.151,-71.158,54.1,0.00,San Carlos De Bariloche
-41.15,145.15,47.2,0.00,Luncheron Hill Forestry
-41.05,146.783,55.8,0.91,Low Head
-41.0,145.733,53.8,0.00,Wynyard Airport
-41.0,148.35,56.6,0.00,Larapuna (Eddystone Point)
-40.9,174.983,59.6,0.00,Paraparaumu Aws
-40.9,176.2,57.6,0.00,Castlepoint
-40.869,-63.0,60.3,0.00,Gobernador Castello
-40.833,145.083,51.7,0.00,Smithton Aerodrome
-40.783,-65.1,63.5,0.00,San Antonio Oeste Aero
-40.717,148.117,56.2,0.00,Swan Island Aws
-40.667,144.683,53.2,0.00,Cape Grim
-40.611,-73.061,55.2,0.00,Canal Bajo Carlos Hott Siebert
-40.6,-73.05,54.0,0.00,Osorno
-40.55,173.0,63.0,0.00,Farewell Spit Aws
-40.35,-9.883,64.0,0.01,Gough Island
-40.317,175.6,55.8,0.00,Palmerston North Aws
-40.1,148.0,55.9,0.00,Flinders Island Airport
-39.883,143.883,54.1,0.00,King Island Airport
-39.65,-73.086,50.0,0.00,Pichoy
-39.467,176.867,52.3,0.07,Napier Aerodrome Aws
-39.433,175.65,47.4,0.00,Waiouru Airstrip
-39.217,146.983,57.0,1.38,Hogan Island
-39.117,146.417,57.1,0.24,Wilsons Promontory Lighthouse
-39.017,174.183,61.8,0.00,New Plymouth Aws
-38.949,-68.156,57.3,0.00,Presidente Peron
-38.933,-72.65,52.2,0.00,Araucania
-38.85,143.517,54.7,0.12,Cape Otway Lighthouse
-38.8,146.2,57.0,0.12,Yanakie
-38.733,176.067,53.9,0.00,Taupo Aws
-38.725,-62.169,57.8,0.00,Comandante Espora
-38.663,177.978,53.4,0.05,Gisborne
-38.633,145.811,57.4,0.08,Pound Creek
-38.567,146.75,56.4,0.08,Yarram Airport
-38.45,144.1,53.3,0.79,Aireys Inlet
-38.45,145.3,57.2,0.08,Rhyll (Aws)
-38.433,141.55,54.1,0.24,Cape Nelson Lighthouse
-38.4,142.233,54.9,0.16,Port Fairy Aws
-38.35,145.167,57.4,0.02,Cerberus Aws
-38.317,141.467,53.0,0.39,Portland Cashmore Airport
-38.283,142.45,52.9,0.12,Warrnambool Airport Ndb
-38.233,143.783,49.6,0.24,Mt Gellibrand
-38.217,146.467,55.5,0.02,Latrobe Valley Airport
-38.167,144.367,54.7,0.00,Geelong Racecourse
-38.15,145.117,56.1,0.00,Frankston Aws
-38.099,147.149,55.0,0.26,East Sale
-38.067,142.767,51.5,0.04,Mortlake Racecourse
-38.039,144.469,54.0,0.00,Avalon
-38.033,144.467,53.7,0.55,Avalon  Airport
-37.976,145.102,56.2,0.08,Melbourne Moorabbin
-37.934,-57.573,64.7,0.00,Mar Del Plata
-37.917,141.267,51.6,0.12,Dartmoor
-37.9,144.117,50.3,0.31,Sheoaks Aws
-37.883,147.567,54.5,0.55,Bairnsdale Airport
-37.867,144.75,54.1,0.18,Laverton Raaf
-37.867,145.25,54.9,0.12,Scoresby Research Institute
-37.867,145.333,48.9,0.35,Ferny Creek
-37.833,144.983,55.6,0.00,Melbourne (Olympic Park)
-37.833,146.267,38.2,2.36,Mt Baw Baw
-37.8,77.533,59.3,1.73,Martin De Vivies (Ile Amsterdam)
-37.75,147.133,49.7,0.75,Mt Moornapa
-37.733,140.783,52.0,0.12,Mount Gambier Aero
-37.733,144.9,53.2,0.39,Essendon Airport
-37.733,145.1,53.9,0.24,Viewbank (Arpnsa)
-37.728,144.902,54.0,0.28,Melbourne Essendon
-37.7,142.933,50.5,0.12,Westmere
-37.7,148.083,51.7,0.39,Mt Nowa Nowa
-37.683,148.467,56.7,0.75,Orbost
-37.673,144.843,52.8,0.00,Melbourne Intl
-37.672,176.196,58.6,0.00,Tauranga
-37.65,142.067,49.7,0.16,Hamilton Airport
-37.6,149.733,59.0,0.52,Mallacoota
-37.583,141.333,50.3,0.12,Casterton
-37.567,149.9,60.8,0.39,Gabo Island Lighthouse
-37.55,178.3,59.3,0.08,Hicks Bay Aws
-37.517,143.783,48.1,0.16,Ballarat Aerodrome
-37.402,-72.425,63.2,0.00,Maria Dolores
-37.383,144.967,47.4,0.31,Kilmore Gap
-37.333,149.017,50.4,0.59,Combienbar
-37.3,140.817,51.1,0.12,Coonawarra
-37.3,142.6,39.3,0.43,Mount William
-37.25,150.05,60.7,0.00,Green Cape Aws
-37.237,-59.228,62.5,0.00,Tandil
-37.233,143.2,42.5,0.24,Ben Nevis
-37.217,145.833,48.9,0.02,Eildon Fire Tower
-37.217,148.267,47.9,0.28,Gelantipy
-37.183,139.8,54.6,0.12,Robe Airfield
-37.167,139.75,57.7,0.20,Robe
-37.15,146.433,37.2,0.08,Mount Buller Aws
-37.117,141.8,51.6,0.03,Kanagulk
-37.1,147.6,49.0,0.24,Omeo
-37.067,142.733,51.5,0.04,Stawell Aerodrome
-37.05,-12.317,64.3,0.00,Tristan Da Cunha
-37.05,147.333,42.1,0.43,Mt Hotham Airport
-37.017,141.267,51.0,0.04,Edenhope Airport
-37.017,144.533,52.3,0.12,Redesdale
-37.008,174.792,61.5,0.00,Auckland Intl
-37.0,149.233,49.4,0.16,Bombala Aws
-37.0,174.8,61.5,0.00,Auckland Aero Aws
-36.983,140.733,51.1,0.08,Naracoorte Aerodrome
-36.967,139.717,55.0,0.08,The Limestone
-36.967,147.133,34.6,0.71,Mount Hotham
-36.917,149.9,58.4,0.43,Merimbula Airport
-36.883,145.183,54.7,0.04,Mangalore Airport
-36.867,147.267,36.7,0.31,Falls Creek Aws
-36.833,-59.883,64.2,0.00,Azul Aero
-36.773,-73.063,55.2,0.00,Carriel Sur Intl
-36.733,144.317,53.3,0.08,Bendigo Airport Aws
-36.667,142.167,52.1,0.00,Horsham Aerodrome
-36.667,142.3,52.3,0.01,Longerenong
-36.667,149.817,58.0,0.04,Bega Aws
-36.65,140.517,52.1,0.03,Padthaway South
-36.588,-64.276,66.4,0.00,Santa Rosa
-36.582,-72.031,61.8,0.00,General Bernardo O Higgins
-36.5,148.283,34.4,0.20,Thredbo Aws
-36.433,145.267,55.0,0.01,Tatura Inst Sustainable Ag
-36.433,145.4,55.0,0.00,Shepparton Airport
-36.417,146.3,56.4,0.00,Wangaratta Aero
-36.416,146.307,56.6,0.00,Wangaratta
-36.4,148.4,36.1,0.35,Perisher Valley Aws
-36.35,-57.733,65.8,0.00,Dolores Airport
-36.333,145.067,54.2,0.00,Kyabram (Inst Sustainable Ag)
-36.317,141.633,52.6,0.01,Nhill Aerodrome
-36.3,148.967,45.6,0.35,Cooma Airport Aws
-36.283,143.35,53.6,0.01,Charlton
-36.25,150.217,60.4,0.63,Montague Island Lighhouse
-36.233,148.133,47.7,0.67,Khancoban
-36.217,147.533,44.6,0.20,Hunters Hill
-36.1,140.317,53.4,0.03,Munkora
-36.1,146.5,53.3,0.12,Rutherglen Research
-36.068,146.958,51.7,0.00,Albury
-36.067,146.95,51.3,0.12,Albury Aeroport
-36.017,146.033,55.3,0.02,Yarrawonga
-35.933,148.383,39.4,0.35,Cabramurra Smhea
-35.9,150.15,57.0,0.59,Moruya Airport
-35.9,175.1,63.4,0.01,Mokohinau Aws
-35.85,138.133,56.6,0.08,Cape Willoughby
-35.8,137.25,52.7,0.12,Pardana Cfs Aws
-35.75,136.6,52.8,0.08,Cape Borda Aws
-35.717,137.517,54.0,0.08,Kingstone Aero
-35.717,142.35,53.5,0.01,Hopetoun Airport
-35.7,139.333,57.9,0.08,Meningie
-35.696,-63.758,70.3,0.00,General Pico
-35.567,138.283,51.4,0.28,Second Valley Forest
-35.567,144.95,52.3,0.00,Deniliquin Airport Aws
-35.55,138.6,57.7,0.12,Encounter Bay
-35.533,148.767,37.3,0.12,Mount Ginini
-35.517,138.817,56.8,0.08,Hindmarsh Island Aws
-35.494,-69.574,58.4,0.00,Malargue
-35.433,149.783,48.0,0.51,Braidwood Racecourse Aws
-35.417,149.1,48.5,0.00,Tuggeranong Isabella Plains
-35.383,143.533,53.5,0.01,Swan Hill Aerodrome
-35.378,140.538,53.1,0.08,Austin Plains
-35.35,150.483,58.0,1.30,Ulladulla Aws
-35.333,136.117,58.3,0.12,Neptune Island
-35.307,149.195,48.8,0.08,Canberra
-35.283,136.933,57.4,0.01,Stenhouse Bay
-35.283,138.9,54.7,0.28,Strathalbyn Racecourse
-35.167,138.5,54.9,0.04,Noarlunga
-35.167,138.667,50.2,0.12,Kuitpo Forest Reserve
-35.165,147.466,55.5,0.06,Wagga Wagga
-35.117,137.733,58.0,0.00,Edithburgh Aws
-35.117,139.267,58.3,0.12,Murray Bridge
-35.117,142.0,52.8,0.08,Walpeup Research
-35.117,150.083,50.0,0.66,Nerriga Aws
-35.117,174.017,64.0,0.02,Purerua
-35.083,150.8,60.2,1.34,Pt Perpendicular Aws
-35.067,138.85,53.8,0.24,Mount Barker
-35.067,139.233,55.2,0.16,Pallamana Aerodrome
-34.983,137.4,59.3,0.04,Warooka
-34.972,-57.895,69.5,0.00,La Plata
-34.967,-71.217,55.2,0.00,Curico/Gen Freire
-34.967,-54.95,69.1,0.00,Punta Del Este
-34.967,138.7,46.5,0.39,Mount Lofty
-34.95,116.717,55.3,0.00,North Walpole
-34.949,150.537,58.5,0.64,Nowra
-34.945,138.531,55.7,0.02,Adelaide Intl
