name,lat,lon,pop,rank
Paita,-5.09,-81.12,56151,6
Nova Viçosa,-17.88,-39.37,55980,6
Arqalyq,50.242,66.898,55521,6
Jefferson City,38.577,-92.173,55139,6
Marzuq,25.904,13.897,55071,6
Prescott,34.59,-112.448,55038,6
Moquegua,-17.19,-70.94,54517,6
Krasnokamensk,50.066,118.026,54316,6
Mocambique,-15.04,40.682,54315,6
Andorra,42.511,1.527,53998,6
Ruteng,-8.612,120.47,53976,6
Chicoutimi,48.433,-71.067,53940,6
Ilo,-17.64,-71.34,53476,6
Joensuu,62.6,29.767,53388,6
Coari,-4.08,-63.13,53305,6
Bundaberg,-24.879,152.351,52472,6
Fredericton,45.95,-66.633,52337,6
Whangarei,-35.726,174.323,52200,6
Tayshet,55.928,97.988,52184,6
Nyagan,62.147,65.381,52137,6
Itacoatiara,-3.14,-58.44,51509,6
Tefé,-3.36,-64.7,51437,6
Tulun,54.565,100.565,51330,6
Biloxi,30.396,-88.885,50644,6
Araguaína,-7.19,-48.21,50444,6
Bangor,44.801,-68.778,50213,6
El Kharga,25.44,30.55,49991,6
Tacheng,46.75,82.95,49796,6
Dosso,13.05,3.2,49750,6
Vryburg,-26.96,24.73,49588,6
Myrtle Beach,33.689,-78.887,49357,6
Lewiston,46.417,-117.017,49289,6
I-n-Salah,27.217,2.467,49223,6
Invercargill,-46.409,168.365,49200,6
Songkhla,7.21,100.56,48616,6
Port Macquarie,-31.445,152.919,48547,6
Vigan,17.575,120.387,48545,6
Buchanan,5.916,-10.052,48315,6
Smara,26.733,-11.683,48149,6
Mildura,-34.185,142.151,47867,6
Kafue,-15.78,28.18,47554,6
Antalaha,-14.883,50.283,47224,6
Rosso,16.524,-15.813,47203,6
Breves,-1.68,-50.49,47164,6
Progreso,21.283,-89.667,47124,6
Brunswick,31.15,-81.492,47085,6
Boosaaso,11.28,49.18,46969,6
New Amsterdam,6.25,-57.53,46874,6
Kokkola,63.833,23.117,46714,6
Aweil,8.767,27.4,46705,6
Nadym,65.53,72.515,46339,6
Östersund,63.183,14.65,46178,6
Pechora,65.159,57.209,46113,6
Manono,-7.3,27.45,46111,6
Ayakoz,47.965,80.43,45861,6
Buta,2.82,24.74,45677,6
Shaoyang,27.0,111.2,45617,6
Birak,27.533,14.283,45421,6
Usinsk,65.923,57.403,45000,6
Laranjal do Jari,-0.85,-52.48,45000,6
Vallenar,-28.57,-70.76,44895,6
Linden,5.99,-58.27,44690,6
Concord,43.208,-71.538,44606,6
Akhtubinsk,48.279,46.169,44551,6
Cobija,-11.021,-68.769,44437,6
Huancavelica,-12.79,-74.99,44388,6
Bluefields,12.0,-83.765,44373,6
Aracati,-4.56,-37.77,44293,6
Pärnu,58.375,24.514,44192,6
Nabire,-3.352,135.513,43898,6
Oyem,1.617,11.583,43423,6
Nizhneudinsk,54.898,99.028,43326,6
Al Wajh,26.232,36.464,43237,6
Whanganui,-39.933,175.039,43200,6
Bilwi,14.033,-83.383,43001,6
Klamath Falls,42.225,-121.781,42978,6
Tehuantepec,16.33,-95.23,42776,6
Cabo San Lucas,22.893,-109.905,42601,6
Kotabumi,-4.833,104.9,42366,6
Mansa,-11.2,28.89,42277,6
Lindi,-10.0,39.7,41912,6
Lesozavodsk,45.475,133.43,41778,6
Grand Prairie,55.167,-118.8,41462,6
Villarrica,-25.75,-56.433,41157,6
Birsk,55.424,55.544,41014,6
Pyu,18.478,96.438,40386,6
Yambio,4.571,28.416,40382,6
Haugesund,59.412,5.277,40321,6
Inongo,-1.94,18.28,40113,6
Tômbua,-15.8,11.86,40000,6
Pacasmayo,-7.401,-79.571,39282,6
Caloundra,-26.8,153.133,38706,6
Tamworth,-31.103,150.917,38551,6
Kandalaksha,67.164,32.414,38126,6
Maroantsetra,-15.433,49.733,38046,6
Salekhard,66.535,66.61,38025,6
Tynda,55.174,124.708,37335,6
Qulsary,46.983,54.017,37103,6
Morondava,-20.283,44.283,36803,6
Frankfort,38.201,-84.873,36688,6
San José de Mayo,-34.35,-56.71,36529,6
Monaco,43.74,7.407,36371,6
Baykonur,45.691,63.241,36175,6
Alamogordo,32.899,-105.96,36058,6
Atbasar,51.822,68.348,35819,6
Ulaangom,49.983,92.067,35796,6
Xique-Xique,-10.82,-42.73,35433,6
Korsakov,46.642,142.777,35091,6
Januária,-15.48,-44.37,34811,6
Prince Albert,53.2,-105.75,34609,6
Merauke,-8.493,140.402,34412,6
Bouar,5.95,15.6,34372,6
Goba,7.01,39.97,34369,6
Kondopoga,62.209,34.289,34360,6
Gisborne,-38.663,178.018,34300,6
Butte,46.004,-112.534,34190,6
Bodø,67.276,14.429,34073,6
Hwange,-18.37,26.5,33989,6
Sumbe,-11.21,13.85,33277,6
Velikiy Ustyug,60.769,46.299,33237,6
Aral,46.8,61.667,33017,6
Reggane,26.7,0.167,32974,6
Courtenay,49.683,-125.0,32793,6
Altai,46.362,96.256,32488,6
Beyneu,45.183,55.1,32452,6
De Aar,-30.65,24.0,32318,6
Moose Jaw,50.4,-105.55,32166,6
Rumbek,6.8,29.683,32083,6
Kalispell,48.198,-114.316,32062,6
El Goléa,30.567,2.883,32049,6
Arxan,47.183,119.967,32023,6
Coos Bay,43.367,-124.217,31976,6
Jacareacanga,-6.228,-57.76,31661,6
Balyqshy,47.067,51.867,31624,6
Lismore,-28.817,153.293,31430,6
Rio Grande,-53.791,-67.699,31095,6
Gladstone,-23.853,151.247,30489,6
Am Timan,11.033,20.283,30443,6
Borzya,50.389,116.519,30421,6
Ometepec,16.68,-98.42,30271,6
Douglas,31.359,-109.548,30185,6
Khorugh,37.488,71.548,30000,6
Warrnambool,-38.38,142.47,29928,6
Sovetskaya Gavan,48.97,140.275,29740,6
Jaguarão,-32.56,-53.37,29613,6
Swakopmund,-22.669,14.535,29491,6
Key West,24.555,-81.783,29377,6
Bria,6.533,21.983,29027,6
Tarawa,1.338,173.018,28802,6
Mpika,-11.83,31.46,28445,6
Icó,-6.4,-38.85,28323,6
Ouésso,1.61,16.05,28320,6
Arvaikheer,46.25,102.767,28053,6
Ancud,-41.87,-73.83,28020,6
Camiri,-20.05,-63.52,27961,6
Kolpashevo,58.311,82.907,27876,6
Örnsköldsvik,63.318,18.717,27749,6
Mörön,49.645,100.154,27690,6
Mananjary,-21.217,48.333,27686,6
Óbidos,-1.91,-55.52,27587,6
Shalqar,47.836,59.614,27256,6
Timaru,-44.397,171.242,27200,6
Nikolayevsk na Amure,53.15,140.73,27152,6
Puerto Armuelles,8.28,-82.87,27147,6
Conceição do Araguaia,-8.25,-49.29,27115,6
Zeya,53.75,127.267,26999,6
Tara,56.898,74.378,26986,6
Aripuanã,-10.177,-59.444,26983,6
Laramie,41.311,-105.591,26934,6
Rocha,-34.483,-54.333,26874,6
Bor,6.207,31.559,26782,6
Canavieiras,-15.64,-38.96,26375,6
Velsk,61.067,42.097,26300,6
Bayankhongor,46.3,100.983,26252,6
Sena Madureira,-9.07,-68.67,26192,6
Krasnoarmeysk,51.017,45.697,25841,6
Severobaykalsk,55.634,109.313,25800,6
Vicksburg,32.352,-90.878,25701,6
Sept-Îles,50.316,-66.36,25686,6
Majuro,7.103,171.38,25400,6
Ust-Kut,56.765,105.76,25388,6
Carlsbad,32.421,-104.228,25302,6
Chiromo,-16.55,35.133,25235,6
Wewak,-3.553,143.637,25143,6
Ongwediva,-17.78,15.77,25032,6
Moyale,3.52,39.05,24837,6
Farafangana,-22.817,47.833,24764,6
Lamu,-2.262,40.92,24525,6
Watsa,3.04,29.53,24516,6
Tocopilla,-22.09,-70.19,24460,6
Ghat,24.965,10.173,24347,6
Labasa,-16.417,179.383,24187,6
As Sulayyil,20.462,45.572,24097,6
Kourou,5.16,-52.65,24029,6
Koulikoro,12.883,-7.55,23919,6
Iguape,-24.72,-47.57,23784,6
Khromtau,50.27,58.45,23715,6
Dudinka,69.418,86.225,23619,6
Nasca,-14.83,-74.94,23556,6
Bondo,3.81,23.67,23517,6
Santa Maria da Vitória,-13.39,-44.21,23488,6
Mount Gambier,-37.831,140.765,23209,6
Siwa,29.2,25.517,23080,6
Jyekundo,32.998,97.007,23000,6
Inta,66.037,60.167,22921,6
Onega,63.927,38.077,22693,6
Andoany,-13.4,48.267,22680,6
Kemi,65.733,24.582,22641,6
Taupo,-38.693,176.077,22600,6
Erenhot,43.662,111.965,22287,6
Eirunepé,-6.66,-69.874,21750,6
Naryan Mar,67.647,53.057,21658,6
Manicoré,-5.812,-61.297,21549,6
Shimanovsk,52.002,127.697,21466,6
Palatka,60.1,150.9,21452,6
Luena,-11.79,19.9,21115,6
Corner Brook,48.95,-57.933,20791,6
Maryborough,-25.549,152.721,20678,6
Val d'Or,48.117,-77.767,20625,6
Mbala,-8.84,31.37,20570,6
Mo i Rana,66.317,14.167,20409,6
Musina,-22.34,30.03,20191,6
Esquel,-42.9,-71.317,20048,6
Narvik,68.383,17.29,20000,6
Puerto Natales,-51.718,-72.512,20000,6
Tidjikdja,18.55,-11.417,19981,6
Burnie,-41.067,145.917,19972,6
Yeniseysk,58.452,92.157,19920,6
Kavieng,-2.581,150.813,19728,6
Babanusa,11.333,27.8,19700,6
Lillehammer,61.133,10.5,19542,6
North Battleford,52.767,-108.283,19440,6
Zapala,-38.9,-70.067,19152,6
Contamana,-7.34,-75.02,18921,6
Eyl,7.983,49.833,18904,6
Hun,29.117,15.933,18878,6
Züünkharaa,48.867,106.467,18830,6
Slyudyanka,51.654,103.699,18809,6
Molde,62.748,7.183,18594,6
Nara,15.18,-7.28,18459,6
Lijiang,26.8,100.267,18445,6
Kyakhta,50.353,106.453,18431,6
Tindouf,27.674,-8.148,18270,6
Kiruna,67.85,20.217,18154,6
Keetmanshoop,-26.574,18.13,18039,6
Mao,14.119,15.313,18031,6
Forster-Tuncurry,-32.193,152.527,17591,6
Bulgan,48.811,103.532,17348,6
Wadi Halfa,21.8,31.35,17121,6
Ambriz,-7.855,13.125,17000,6
Tôlanaro,-25.027,46.99,16818,6
Mossel Bay,-34.17,22.13,16743,6
Morombe,-21.739,43.366,16727,6
Queenstown,-45.023,168.725,16600,6
Akureyri,65.667,-18.1,16563,6
Marsabit,2.33,37.98,16460,6
Santissima Trindade,-15.0,-59.95,16271,6
Fonte Boa,-2.514,-66.092,16060,6
Bodaybo,57.851,114.193,15933,6
Baruun-Urt,46.7,113.283,15805,6
Udachny,66.423,112.397,15266,6
São Gabriel da Cachoeira,-0.133,-67.083,15231,6
Tsumeb,-19.24,17.71,14959,6
Bemidji,47.474,-94.88,14796,6
Öndörkhaan,47.317,110.65,14723,6
Tórshavn,62.03,-6.82,14398,6
Williams Lake,52.117,-122.15,14168,6
Port Augusta,-32.49,137.77,13897,6
Kem,64.954,34.568,13829,6
Bandarbeyla,9.483,50.817,13753,6
Chañaral,-26.348,-70.621,13543,6
Faya Largeau,17.917,19.117,13400,6
Dolbeau,48.867,-72.233,13337,6
Palmer,61.6,-149.113,13111,6
Muynoq,43.768,59.021,13000,6
Mogocha,53.733,119.767,12647,6
Barcelos,-0.975,-62.924,12584,6
Los Alamos,35.891,-106.298,12233,6
Belomorsk,64.525,34.766,12165,6
Alta,69.967,23.242,12077,6
Aleksandrovsk Sakhalinskiy,50.897,142.156,12024,6
Dundo,-7.38,20.83,11985,6
Robertsport,6.753,-11.369,11969,6
Dolo Bay,4.183,42.083,11810,6
Negele Boran,5.317,39.583,11772,6
Magdagachi,53.45,125.8,11739,6
Río Colorado,-38.967,-64.083,11499,6
Havre,48.545,-109.678,11154,6
Biltine,14.533,20.917,11000,6
Bowen,-20.001,148.209,10983,6
Kenora,49.767,-94.467,10852,6
Khilok,51.35,110.45,10627,6
Filadelfia,-22.34,-60.03,10470,6
Greenville,5.011,-9.039,10374,6
Merowe,18.483,31.817,10234,6
Innisfail,-17.531,146.039,10143,6
Nogliki,51.833,143.167,10098,6
Salaverry,-8.22,-78.99,10066,6
Taltal,-25.4,-70.47,10018,6
Skovorodino,53.983,123.917,10007,6
Grafton,-29.712,152.938,9955,6
Vilyuysk,63.755,121.625,9948,6
Gamba,-2.65,10.0,9928,6
Lobamba,-26.467,31.2,9782,6
Igrim,63.193,64.419,9545,6
San Jose,-17.85,-60.78,9211,6
Cody,44.523,-109.057,9161,6
Porto Nacional,-10.7,-48.42,9129,6
Ménaka,15.917,2.4,9110,6
Dauphin,51.15,-100.05,9077,6
Ketchikan,55.356,-131.664,9070,6
Novo Airão,-2.621,-60.944,9049,6
Namsos,64.483,11.5,9035,6
Sinop,-11.85,-55.46,8961,6
Kemijärvi,66.667,27.417,8883,6
Buyant-Uhaa,44.867,110.15,8776,6
Suntar,62.144,117.632,8639,6
Olovyannaya,50.95,115.567,8247,6
Moree,-29.47,149.83,8203,6
Qarqaraly,49.425,75.465,8195,6
Puerto Aisén,-45.4,-72.7,8067,6
Uliastay,47.75,96.817,8056,6
Illizi,26.483,8.467,7957,6
Keflavík,64.017,-22.567,7930,6
Esperance,-33.857,121.889,7888,6
Dryden,49.783,-92.833,7862,6
Kenai,60.554,-151.258,7610,6
Banff,51.178,-115.572,7502,6
Yarmouth,43.831,-66.113,7500,6
Carnarvon,-24.9,113.65,7392,6
Susuman,62.783,148.167,7367,6
Wick,58.433,-3.083,7147,6
Zambezi,-13.54,23.11,7074,6
Melekeok,7.487,134.627,7026,6
Khandyga,62.666,135.6,6796,6
Ghadamis,30.133,9.5,6623,6
Awjilah,29.108,21.287,6610,6
Lerwick,60.15,-1.15,6594,6
Qazaly,45.763,62.108,6582,6
Flin Flon,54.767,-101.883,6393,6
San Matias,-16.36,-58.42,6352,6
Fort Nelson,58.804,-122.687,6315,6
Smithers,54.767,-127.167,6245,6
Umba,66.681,34.346,6128,6
Bathurst,47.6,-65.65,6111,6
The Pas,53.817,-101.233,6055,6
Tessalit,20.201,1.089,6000,6
Norway House,53.967,-97.833,6000,6
Tazovsky,67.467,78.7,5981,6
Maintirano,-18.067,44.017,5925,6
Northam,-31.657,116.653,5855,6
Kununurra,-15.767,128.733,5679,6
Roma,-26.559,148.791,5496,6
Avarua,-21.196,-159.785,5445,6
Tura,64.283,100.25,5444,6
Sarmiento,-45.6,-69.083,5185,6
Vadsø,70.097,29.766,5139,6
Newman,-23.367,119.733,5138,6
Chernyshevsky,63.013,112.471,5137,6
Ust-Kamchatsk,56.214,162.435,4939,6
Pevek,69.701,170.313,4837,6
Turukhansk,65.838,87.955,4774,6
Funafuti,-8.517,179.217,4749,6
Bagdarin,54.433,113.6,4676,6
Palikir,6.917,158.15,4645,6
Sangar,63.924,127.474,4633,6
Tonantins,-2.873,-67.802,4561,6
Aqtau,43.623,51.236,4479,6
Ilulissat,69.217,-51.1,4413,6
Goondiwindi,-28.555,150.325,4251,6
Manjimup,-34.233,116.15,4240,6
Ely,39.247,-114.888,4216,6
Omsukchan,62.533,155.8,4201,6
Svolvær,68.233,14.567,4197,6
Novyy Uoyin,56.135,111.734,4184,6
Araouane,18.9,-3.53,4026,6
Mayumba,-3.417,10.65,3996,6
Jasper,52.883,-118.083,3907,6
Tennant Creek,-19.65,134.2,3889,6
Perito Moreno,-46.6,-70.933,3766,6
Teeli,51.033,90.233,3732,6
Chersky,68.75,161.33,3707,6
Gaspé,48.837,-64.493,3677,6
Mezen,65.852,44.24,3672,6
Zyryanka,65.736,150.89,3627,6
De-Kastri,51.467,140.783,3615,6
Unalaska,53.869,-166.532,3571,6
Srednekolymsk,67.45,153.71,3459,6
Gander,48.95,-54.55,3345,6
Vanhynsdorp,-31.617,18.733,3331,6
Kirkenes,69.725,30.052,3282,6
Qaqortoq,60.729,-46.036,3224,6
Derby,-17.312,123.642,3199,6
Ust-Maya,60.457,134.543,3062,6
Inuvik,68.35,-133.7,3022,6
Taoudenni,22.667,-3.983,3019,6
Mandalgovi,45.75,106.266,2984,6
Mabaruma,8.2,-59.78,2972,6
Seward,60.126,-149.47,2900,6
Weipa,-12.667,141.867,2830,6
Port Burwell,60.266,-64.741,2762,6
Garoowe,8.4,48.5,2568,6
Provideniya,64.423,-173.226,2536,6
Ísafjörður,66.083,-23.15,2534,6
Nagchu,31.48,92.05,2500,6
Puerto Williams,-54.933,-67.617,2500,6
Rankin Inlet,62.817,-92.095,2472,6
El Dorado,6.733,-61.633,2383,6
Dondo,-9.69,14.43,2353,6
Puerto San Julián,-49.3,-67.717,2347,6
Maltahöhe,-24.84,16.94,2329,6
Cordova,60.543,-145.757,2257,6
Mejillones,-23.1,-70.45,2041,6
Evensk,61.95,159.233,2024,6
Marka,1.72,44.769,1958,6
Amapá,2.05,-50.8,1947,6
Saskylakh,71.917,114.083,1920,6
Charleville,-26.4,146.25,1900,6
Paamiut,62.004,-49.635,1862,6
Tasiilaq,65.602,-37.634,1829,6
Attawapiskat,52.917,-82.433,1802,6
Novy Port,67.698,72.928,1790,6
Moosonee,51.281,-80.658,1725,6
Höfn,64.272,-15.214,1695,6
Inukjuak,58.47,-78.136,1597,6
Ceduna,-32.099,133.662,1586,6
Pond Inlet,72.685,-78.0,1549,6
Oktyabrsky,52.664,156.239,1534,6
Eldikan,60.8,135.183,1516,6
Alexander Bay,-28.608,16.503,1500,6
Verkhoyansk,67.545,133.385,1388,6
Cape Dorset,64.313,-76.539,1326,6
Pangnirtung,66.133,-65.75,1320,6
Chumikan,54.711,135.315,1305,6
Uummannaq,70.675,-52.123,1299,6
Ayan,56.454,138.167,1286,6
Gillam,56.35,-94.7,1281,6
Longyearbyen,78.221,15.621,1232,6
Halls Creek,-18.223,127.671,1209,6
Cloncurry,-20.7,140.5,1202,6
Gjoa Haven,68.633,-95.917,1109,6
Klyuchi,56.3,160.85,1089,6
Exmouth,-21.931,114.123,1085,6
Hooper Bay,61.531,-166.097,1079,6
Omolon,65.25,160.5,1050,6
Fulin,29.35,102.717,1049,6
Norseman,-32.2,121.767,1004,6
Principe da Beira,-12.417,-64.417,956,6
Skagway,59.458,-135.314,955,6
Govorovo,70.211,125.993,943,6
Tarapoto,-6.51,-76.48,936,6
Yulara,-25.241,130.989,930,6
Tuktoyaktuk,69.455,-133.049,929,6
Fort Yukon,66.565,-145.274,833,6
Georgetown,-18.3,143.533,818,6
Watson Lake,60.062,-128.712,802,6
Wyndham,-15.595,128.224,800,6
Uelen,66.154,-169.811,776,6
Yerema,60.381,107.779,745,6
Gambell,63.78,-171.731,681,6
Meekatharra,-26.6,118.483,654,6
Mingan,50.302,-64.017,588,6
Onslow,-21.658,115.096,573,6
Quilpie,-26.617,144.25,560,6
Kangerlussuaq,67.014,-50.71,556,6
Mereeg,3.767,47.3,548,6
Cartwright,53.701,-57.012,505,6
Galena,64.733,-156.927,500,6
Holman,70.733,-117.75,500,6
Bir Lehlou,26.119,-9.653,500,6
Lynn Lake,56.85,-101.05,482,6
Ittoqqortoormiit,70.483,-21.967,469,6
Fada,17.185,21.59,448,6
Fort Resolution,61.167,-113.683,448,6
Xangongo,-16.74,14.97,447,6
Hughenden,-20.85,144.2,421,6
Kimmirut,62.85,-69.883,385,6
Laverton,-28.627,122.404,316,6
Shoyna,67.867,44.133,300,6
Kulusuk,65.567,-37.183,286,6
Fort Simpson,61.85,-121.333,283,6
Amderma,69.763,61.668,282,6
Brochet,57.883,-101.667,278,6
Nimule,3.6,32.05,242,6
Togiak,59.07,-160.378,236,6
Leonara,-28.882,121.328,227,6
Nuussuaq,74.121,-57.067,204,6
Thargomindah,-28.0,143.817,203,6
Kangersuatsiaq,72.38,-55.549,200,6
Three Springs,-29.533,115.75,190,6
Sayhut al Ghamirah,15.211,51.245,189,6
Camooweal,-19.917,138.117,187,6
Wainwright,70.637,-160.038,174,6
Androka,-25.022,44.075,174,6
Karumba,-17.483,140.833,173,6
Al Qunfudhah,19.126,41.079,157,6
Ivugivik,62.417,-77.9,156,6
La Esmeralda,3.174,-65.547,150,6
Alert,82.483,-62.25,125,6
Rigolet,54.177,-58.447,124,6
Lansdowne House,52.217,-87.883,120,6
Kaktovik,70.088,-143.603,101,6
Vorontsovo,71.698,83.564,100,6
Nyingchi,29.651,94.367,100,6
Uranium City,59.567,-108.617,89,6
Savissivik,76.019,-65.112,66,6
Red Devil,61.761,-157.313,25,6
Grise Fiord,76.442,-82.95,23,6
Kovda,66.69,32.87,20,6
Krasino,70.731,54.421,10,6
Matočkin Šar,73.27,56.45,10,6
Indiga,67.69,49.017,10,6
Gyda,70.881,78.466,10,6
Numto,63.667,71.333,10,6
Komsa,61.868,89.258,10,6
Starorybnoye,72.767,104.8,10,6
Mikhaylova,75.095,86.982,10,6
Chagda,60.1,133.9,10,6
Terbyas,64.376,120.547,10,6
Menkere,67.989,123.35,10,6
Sagastyr,73.378,126.592,10,6
Ust-Olenyok,72.998,119.773,10,6
Olenyok,68.525,112.45,10,6
Khakhar,57.667,135.43,10,6
Manily,62.55,165.3,10,6
Timmiarmiut,62.533,-42.217,10,6
Nord,81.717,-17.8,10,6
Qeqertasuaq,69.244,-53.565,10,6
Erldunda,-25.233,133.2,10,6
Gueppi,-0.117,-75.23,10,6
Djado,21.015,12.308,10,6
Rusanovo,70.598,56.372,10,6
Bir Mogrein,25.233,-11.583,10,6
Chernobyl,51.389,30.099,0,6
Ennadai,61.133,-100.883,0,6
Kazachye,70.733,136.217,-99,6
Haora,22.585,88.319,4841638,7
Hechi,24.695,108.083,3830000,7
Zhangzhou,24.52,117.67,3531147,7
Irvine,33.68,-117.83,3010232,7
Quezon City,14.65,121.03,2761720,7
Katowice,50.26,19.02,2746000,7
Xiangtan,27.85,112.9,2586948,7
Bekasi,-6.217,106.972,2378211,7
Mannheim,49.5,8.47,2362000,7
Dammam,26.43,50.098,2054710,7
Fort Lauderdale,26.136,-80.142,2042042,7
Shuyang,34.13,118.773,1770000,7
Zhongli,24.965,121.217,1632616,7
Toluca,19.289,-99.653,1531000,7
Karaj,35.802,50.968,1423000,7
Maanshan,31.673,118.485,1366302,7
Düsseldorf,51.22,6.78,1220000,7
Maoming,21.92,110.87,1217715,7
Cilacap,-7.719,109.015,1174964,7
Shangrao,28.47,117.97,1144577,7
Baoding,38.858,115.469,1107000,7
Zigong,29.402,104.778,1105000,7
Ikare,7.53,5.76,1099931,7
Haifa,32.822,34.978,1011000,7
Kitakyūshū,33.87,130.82,997536,7
Hamamatsu,34.718,137.733,977023,7
Salerno,40.68,14.77,954265,7
Songnam,37.441,127.136,942000,7
Goyang,37.655,126.835,903000,7
Aba,5.1,7.35,897560,7
Tarsus,36.92,34.88,894318,7
Bandar Lampung,-5.45,105.3,881801,7
Novo Hamburgo,-29.71,-51.14,876990,7
Yangjiang,21.85,111.97,872363,7
Bucheon,37.501,126.781,866000,7
Rizhao,35.43,119.45,865000,7
New Haven,41.33,-72.9,846766,7
Basel,47.58,7.59,830000,7
Jhansi,25.453,78.557,826494,7
Nottingham,52.941,-1.166,825600,7
Butterworth,5.417,100.4,821652,7
Bareilly,28.347,79.418,817000,7
Saarbrücken,49.25,6.97,770001,7
Jincheng,35.5,112.83,760000,7
Changhua,24.073,120.513,750000,7
Oyo,7.85,3.93,736072,7
Beihai,21.48,109.1,728978,7
Lowell,42.634,-71.317,723629,7
As Sulaymaniyah,35.561,45.431,723170,7
Hanover,52.367,9.717,722490,7
Moshi,-3.34,37.34,721018,7
Kumamoto,32.801,130.701,718232,7
Lianyungang,34.587,119.226,715600,7
Dehra Dun,30.32,78.05,714223,7
Jeonju,35.831,127.14,711424,7
Qingyuan,23.7,113.03,706717,7
Changzhi,36.184,113.105,706000,7
Akron,41.07,-81.52,703200,7
Tolyatti,53.508,49.42,702879,7
Shizuoka,34.986,138.385,701561,7
Meknes,33.9,-5.56,697628,7
La Plata,-34.923,-57.954,694253,7
Malegaon,20.56,74.525,690844,7
Stockton,37.958,-121.29,685306,7
Bonn,50.72,7.08,680543,7
Puyang,35.7,114.98,666322,7
Ismaïlia,30.59,32.26,656135,7
Shivamogga,13.93,75.56,654055,7
Zhanyi,25.6,103.817,652604,7
Turpan,42.935,89.165,651853,7
Tiruppur,11.08,77.33,650000,7
Diyarbakır,37.92,40.23,644763,7
Morelia,19.733,-101.189,644306,7
Utrecht,52.1,5.12,640000,7
Wrocław,51.11,17.03,634893,7
Raurkela,22.23,84.83,625831,7
Poznań,52.406,16.9,623997,7
Bannu,32.989,70.599,622419,7
Wiesbaden,50.08,8.25,617126,7
Changping,40.225,116.194,614821,7
Taizhou,32.49,119.9,612356,7
Xiangtai,37.05,114.5,611739,7
Oceanside,33.191,-117.346,609854,7
Sangli,16.86,74.575,601214,7
Barcelona,10.13,-64.72,600954,7
El Mansura,31.05,31.38,600000,7
Sohag,26.55,31.7,600000,7
Jalalabad,34.442,70.436,597971,7
Al Hillah,32.472,44.422,594605,7
Abeokuta,7.16,3.35,593100,7
Gary,41.58,-87.33,591180,7
Covington,39.084,-84.509,585489,7
Bikaner,28.015,73.332,576015,7
Shuozhou,39.3,112.42,570000,7
Pereira,4.81,-75.68,568750,7
Binjai,3.62,98.5,564979,7
Tongling,30.95,117.78,562832,7
Bhavnagar,21.778,72.13,554978,7
Kenitra,34.27,-6.58,551786,7
Málaga,36.72,-4.42,550058,7
Matola,-25.97,32.46,543907,7
Bilaspur,22.09,82.16,543454,7
Sargodha,32.085,72.675,542603,7
Leipzig,51.335,12.41,542529,7
Tirunelveli,8.73,77.69,542200,7
Grand Rapids,42.964,-85.67,535829,7
Rouen,49.43,1.08,532559,7
Jiangmen,22.58,113.08,532419,7
Cangzhou,38.32,116.87,527681,7
Jian,27.13,115.0,520248,7
Siliguri,26.72,88.455,515574,7
Ujjain,23.19,75.79,513350,7
Blida,36.42,2.83,511348,7
Karbala,32.615,44.024,510692,7
Gliwice,50.33,18.67,507670,7
Bukittinggi,-0.303,100.361,506964,7
Arak,34.08,49.7,503647,7
Pingtung,22.682,120.482,503530,7
Brighton,50.83,-0.17,503008,7
Bari,41.114,16.873,500577,7
Keelung,25.133,121.733,500000,7
Mazatlán,29.017,-110.133,500000,7
Awka,6.21,7.07,500000,7
Pasuruan,-7.63,112.9,500000,7
Damanhûr,31.05,30.47,500000,7
Shuangyashan,46.67,131.35,500000,7
Tsu,34.717,136.517,500000,7
Chiayi,23.475,120.435,500000,7
Mataram,-8.58,116.135,499409,7
Shahrisabz,39.062,66.831,498545,7
Songyuan,45.18,124.82,495900,7
Beni Suef,29.08,31.09,489450,7
Bologna,44.5,11.34,488172,7
Everett,47.96,-122.2,486903,7
Bhatpara,22.853,88.414,483129,7
Ife,7.48,4.56,482365,7
Zhaoqing,23.05,112.45,480000,7
Ostrava,49.83,18.25,478963,7
Jiaojing,28.68,121.45,471500,7
Chaoyang,41.55,120.42,470296,7
İzmit,40.776,29.931,466504,7
Iligan,8.171,124.215,464599,7
Calabar,4.96,8.33,461796,7
Malatya,38.37,38.3,461574,7
Hamah,35.15,36.73,460602,7
Cranbourne,-38.1,145.283,460491,7
Jingdezhen,29.27,117.18,457298,7
Volta Redonda,-22.52,-44.095,456362,7
Luhansk,48.57,39.334,452000,7
An Nasiriyah,31.043,46.268,451547,7
Chengde,40.96,117.93,449325,7
Xuchang,34.02,113.82,449258,7
Chlef,36.17,1.32,449167,7
Ōita,33.243,131.598,448907,7
Ado Ekiti,7.63,5.22,446749,7
Portsmouth,50.8,-1.08,442252,7
Foz do Iguaçu,-25.523,-54.53,440455,7
Wakayama,34.223,135.168,440006,7
Mawlamyine,16.5,97.67,438861,7
Nantes,47.21,-1.59,438537,7
Khomeini Shahr,32.7,51.47,437138,7
Katsina,12.99,7.6,432149,7
Erzurum,39.92,41.29,420691,7
Akure,7.25,5.2,420594,7
Middlesbrough,54.58,-1.23,416042,7
Meizhou,24.3,116.12,414930,7
Gifu,35.423,136.763,412895,7
Metz,49.12,6.18,409186,7
Al Ayn,24.23,55.74,408733,7
Jeju,33.51,126.522,408364,7
