name,lat,lon,pop,rank
Santo Domingo,18.471,-69.93,2154000,2
Accra,5.552,-0.219,2121000,2
Medan,3.582,98.648,2115000,2
Maracaibo,10.732,-71.662,2072000,2
Kuwait City,29.372,47.976,2063000,2
Hiroshima,34.39,132.441,2045000,2
Baotou,40.654,109.82,2036000,2
Goiânia,-16.718,-49.302,2022000,2
Sanaa,15.357,44.205,2008000,2
Bucharest,44.435,26.098,1942000,2
Hamburg,53.552,9.998,1757000,2
Brussels,50.835,4.331,1743000,2
Warsaw,52.231,21.005,1707000,2
Budapest,47.502,19.081,1679000,2
Perth,-31.953,115.838,1532000,2
Kuala Lumpur,3.14,101.689,1448000,2
Makkah,21.432,39.818,1385000,2
Munich,48.132,11.573,1275000,2
Prague,50.087,14.423,1162000,2
Helsinki,60.164,24.932,1115000,2
Zürich,47.382,8.548,1108000,2
København,55.681,12.562,1085000,2
Dublin,53.347,-6.257,1059000,2
Edmonton,53.552,-113.502,1058000,2
Monrovia,6.315,-10.8,1041000,2
Oslo,59.919,10.748,835000,2
Honolulu,21.303,-157.858,786000,2
New Orleans,29.969,-90.088,785000,2
Anchorage,61.214,-149.887,260283,2
Kaohsiung,22.633,120.267,2769072,3
San Juan,18.44,-66.13,2478905,3
Tunis,36.803,10.18,2412500,3
Baku,40.397,49.86,2122300,3
Santa Cruz,-17.752,-63.228,2102998,3
Port-au-Prince,18.543,-72.338,1998000,3
Cleveland,41.472,-81.697,1890000,3
Portland,45.522,-122.682,1875000,3
Asunción,-25.291,-57.626,1870000,3
Brisbane,-27.453,153.033,1860000,3
Beirut,33.874,35.508,1846000,3
Pittsburgh,40.432,-80.002,1838000,3
Las Vegas,36.165,-115.151,1823000,3
Minsk,53.902,27.565,1805000,3
Valencia,10.232,-67.982,1770000,3
Manaus,-3.098,-60.002,1753000,3
Palembang,-2.978,104.748,1749000,3
Bhopal,23.252,77.408,1727000,3
Rabat,34.025,-6.836,1705000,3
Quito,-0.213,-78.502,1701000,3
Antananarivo,-18.915,47.515,1697000,3
Coimbatore,11.002,76.948,1696000,3
San Jose,37.331,-121.888,1668000,3
Qiqihar,47.347,123.988,1641000,3
Cincinnati,39.164,-84.459,1636000,3
Isfahan,32.702,51.698,1628000,3
Yaoundé,3.869,11.515,1611000,3
Sacramento,38.577,-121.472,1604000,3
Shantou,23.372,116.668,1601000,3
La Paz,-16.496,-68.152,1590000,3
Abuja,9.055,7.49,1576000,3
Harare,-17.816,31.043,1572000,3
Tijuana,32.502,-117.082,1553000,3
Vishakhapatnam,17.683,83.22,1529000,3
Multan,30.202,71.453,1522000,3
Montevideo,-34.905,-56.187,1513000,3
Bamako,12.652,-8.002,1494000,3
Conakry,9.533,-13.682,1494000,3
San Antonio,29.42,-98.493,1473000,3
Phnom Penh,11.552,104.915,1466000,3
Hyderabad,25.382,68.373,1459000,3
Lomé,6.134,1.221,1452000,3
Córdoba,-31.398,-64.184,1452000,3
Huainan,32.632,116.978,1451000,3
Maputo,-25.953,32.587,1446000,3
San Salvador,13.703,-89.216,1433000,3
Lyon,45.772,4.828,1423000,3
Kampala,0.319,32.581,1420000,3
Davao,7.112,125.628,1402000,3
Semarang,-6.965,110.418,1396000,3
Novosibirsk,55.032,82.958,1389000,3
Milwaukee,43.03,-87.917,1388000,3
Brazzaville,-4.257,15.283,1355000,3
Lubumbashi,-11.678,27.478,1352000,3
Varanasi,25.332,82.998,1352000,3
Pretoria,-25.705,28.227,1338000,3
Lusaka,-15.415,28.281,1328000,3
Asansol,23.685,86.981,1328000,3
Yekaterinburg,56.852,60.598,1313000,3
Peshawar,34.007,71.533,1303000,3
Jamshedpur,22.789,86.196,1300000,3
Madurai,9.922,78.118,1294000,3
San José,9.93,-84.079,1284000,3
Panama City,8.97,-79.535,1281000,3
Nizhny Novgorod,56.335,43.998,1278000,3
Makassar,-5.138,119.43,1262000,3
Shiraz,29.632,52.568,1240000,3
Seville,37.405,-5.98,1212045,3
Amritsar,31.642,74.868,1212000,3
Almaty,43.327,76.913,1209000,3
Sofia,42.685,23.315,1185000,3
Banghazi,32.119,20.065,1180000,3
Raleigh,35.773,-78.647,1163515,3
Glasgow,55.862,-4.239,1160000,3
Ouagadougou,12.372,-1.527,1149000,3
Ottawa,45.419,-75.702,1145000,3
Adelaide,-34.933,138.598,1145000,3
Samara,53.197,50.149,1137000,3
Kazan,55.752,49.124,1115000,3
Calgary,51.085,-114.082,1110000,3
Yerevan,40.183,44.512,1102000,3
Mogadishu,2.069,45.365,1100000,3
Tbilisi,41.727,44.789,1100000,3
Huambo,-12.748,15.758,1100000,3
Belgrade,44.821,20.466,1099000,3
Bhilai,21.211,81.372,1097000,3
Dushanbe,38.56,68.774,1086244,3
Memphis,35.145,-90.029,1081000,3
Amman,31.952,35.931,1060000,3
Xining,36.622,101.768,1048000,3
Norfolk,36.85,-76.28,1047869,3
Jerusalem,31.778,35.207,1029300,3
Guatemala City,14.623,-90.529,1024000,3
Florianópolis,-27.578,-48.522,1023000,3
Port Elizabeth,-33.968,25.598,1021000,3
Ufa,54.792,56.038,1018000,3
Buffalo,42.882,-78.882,1016000,3
Fez,34.057,-5.002,1002000,3
Aden,12.78,45.009,1000000,3
Perm,58.002,56.248,997000,3
Yinchuan,38.47,106.271,991000,3
N'Djamena,12.115,15.047,989000,3
Guilin,25.282,110.278,987000,3
Volgograd,48.712,44.498,984000,3
Salt Lake City,40.777,-111.932,966000,3
Mérida,20.969,-89.619,965000,3
Pingxiang,27.622,113.848,961000,3
Kozhikode,11.252,75.768,953000,3
Tegucigalpa,14.104,-87.219,946000,3
Kingston,17.977,-76.767,937700,3
Naypyidaw,19.769,96.117,930000,3
Krasnoyarsk,56.016,92.864,925000,3
Managua,12.155,-86.27,920000,3
Niamey,13.519,2.115,915000,3
Tirana,41.328,19.819,895350,3
Kathmandu,27.719,85.315,895000,3
Mendoza,-32.881,-68.819,893000,3
Concepción,-36.83,-73.05,889725,3
Cartagena,10.402,-75.516,887000,3
Ulaanbaatar,47.919,106.915,885000,3
Mombasa,-4.038,39.688,882000,3
Omaha,41.24,-96.01,877110,3
Nashville,36.172,-86.782,877000,3
Marrakesh,31.632,-8.002,872000,3
Palermo,38.127,13.348,863000,3
Tampico,22.3,-97.87,859419,3
Padang,-0.958,100.358,855000,3
Valparaíso,-33.048,-71.617,854000,3
Bhubaneswar,20.272,85.825,844000,3
Bishkek,42.875,74.583,837000,3
Bangui,4.367,18.558,831925,3
Thessaloniki,40.698,22.883,828000,3
Freetown,8.472,-13.236,827000,3
Cebu,10.322,123.898,815000,3
Valencia,39.487,-0.402,808000,3
Oran,35.712,-0.622,798000,3
Chihuahua,28.647,-106.087,793000,3
Oklahoma City,35.472,-97.521,788000,3
Islamabad,33.689,73.081,780000,3
Campo Grande,-20.448,-54.619,778000,3
Trujillo,-8.12,-79.02,765171,3
Cotonou,6.363,2.404,762000,3
Vientiane,17.967,102.6,754000,3
Ciudad Guayana,8.37,-62.62,746535,3
Riga,56.95,24.1,742572,3
Nouakchott,18.086,-15.975,742144,3
Muscat,23.585,58.378,734697,3
Sokoto,13.06,5.24,732178,3
Ashgabat,37.95,58.383,727700,3
Zagreb,45.8,16.0,722526,3
Acapulco,16.85,-99.916,715584,3
Kandahar,31.61,65.695,715542,3
Samarkand,39.67,66.945,708000,3
Bulawayo,-20.17,28.58,699385,3
Sarajevo,43.85,18.383,696731,3
Enugu,6.45,7.5,688862,3
Chișinău,47.005,28.858,688134,3
Lilongwe,-13.983,33.783,646750,3
Kikwit,-5.03,18.85,637736,3
Winnipeg,49.883,-97.166,632063,3
Québec,46.84,-71.246,624177,3
Asmara,15.333,38.933,620802,3
Luxor,25.7,32.65,609248,3
Bandjarmasin,-3.33,114.58,603576,3
Abu Dhabi,24.467,54.367,603492,3
Barnaul,53.355,83.745,599579,3
Vladivostok,43.13,131.91,587022,3
Irkutsk,52.285,104.284,586695,3
Hami,42.827,93.515,580000,3
Veracruz,19.177,-96.16,578963,3
Libreville,0.385,9.458,578156,3
Mar del Plata,-38.0,-57.58,555897,3
Vilnius,54.683,25.317,542366,3
Cancún,21.17,-86.83,542043,3
Newcastle,-32.93,151.77,540796,3
Tomsk,56.495,84.975,535479,3
Beira,-19.82,34.87,530604,3
Kashgar,39.476,75.97,506640,3
Macapá,0.033,-51.05,499166,3
Port Sudan,19.616,37.216,489725,3
Feira de Santana,-12.25,-38.97,481911,3
Tuxtla Gutiérrez,16.75,-93.15,481128,3
Hargeisa,9.56,44.065,477876,3
Bloemfontein,-29.12,26.23,463064,3
Qaraghandy,49.885,73.115,451800,3
San Cristóbal,7.77,-72.25,438798,3
Nagasaki,32.765,129.885,435455,3
Kolwezi,-10.717,25.472,418000,3
Hotan,37.1,79.927,408894,3
Zanzibar,-6.16,39.2,403658,3
Bissau,11.865,-15.598,403339,3
Kassala,15.46,36.39,401477,3
Surgut,61.26,73.425,400000,3
Tallinn,59.434,24.728,394024,3
Wellington,-41.292,174.777,393400,3
Nyala,12.06,24.89,392373,3
Iloilo,10.705,122.545,387681,3
Des Moines,41.58,-93.62,380655,3
Sevastopol,44.604,33.524,379200,3
Valletta,35.9,14.515,368250,3
Mazatlán,23.221,-106.42,368204,3
Christchurch,-43.535,172.63,363200,3
Maseru,-29.317,27.483,361324,3
Cusco,-13.525,-71.972,361182,3
Halifax,44.65,-63.6,359111,3
Posadas,-27.358,-55.885,357119,3
Archangel,64.575,40.545,356051,3
Nur-Sultan,51.181,71.428,345604,3
Boise,43.609,-116.227,338071,3
Canberra,-35.283,149.129,327700,3
Maroua,10.596,14.325,319941,3
Murmansk,68.97,33.1,319263,3
Antofagasta,-23.65,-70.4,309832,3
Chita,52.055,113.465,308500,3
Bandar Seri Begawan,4.883,114.933,296500,3
Mbeya,-8.89,33.43,291649,3
Victoria,48.433,-123.35,289625,3
Port Moresby,-9.465,147.193,283733,3
Bahía Blanca,-38.74,-62.265,281536,3
Tacna,-18.0,-70.25,280098,3
Ica,-14.068,-75.725,279420,3
Windhoek,-22.57,17.084,268132,3
Georgetown,6.802,-58.167,264350,3
Paramaribo,5.835,-55.167,254169,3
Jackson,32.299,-90.185,250902,3
Bratsk,56.157,101.615,246348,3
Matadi,-5.817,13.45,245862,3
Yakutsk,62.035,129.735,235600,3
Boa Vista,2.816,-60.666,235150,3
Dili,-8.559,125.579,234331,3
Santarém,-2.433,-54.7,230428,3
Zinder,13.8,8.983,230358,3
Nassau,25.083,-77.35,227940,3
Iquique,-20.25,-70.13,227499,3
Sucre,-19.041,-65.26,224838,3
Nacala,-14.519,40.715,224795,3
Nicosia,35.167,33.367,224300,3
Lhasa,29.645,91.1,219599,3
Colombo,6.932,79.858,217000,3
Bergen,60.391,5.325,213585,3
Gaborone,-24.646,25.912,208411,3
Yamoussoukro,6.818,-5.276,206499,3
Saskatoon,52.17,-106.67,198958,3
Tarakan,3.3,117.633,193069,3
Petropavlovsk-Kamchatsky,53.062,158.623,187282,3
Regina,50.45,-104.617,176183,3
Suva,-18.133,178.442,175399,3
Puerto Montt,-41.47,-72.93,174629,3
Reykjavík,64.143,-21.937,166212,3
Marabá,-5.35,-49.116,166182,3
Bumba,2.19,22.46,160539,3
Valdivia,-39.822,-73.233,159599,3
Abéché,13.84,20.83,158317,3
Gondar,12.61,37.46,156230,3
Malabo,3.75,8.783,155963,3
Jiayuguan,39.82,98.3,148279,3
Trondheim,63.417,10.417,147139,3
Comodoro Rivadavia,-45.87,-67.5,140850,3
Townsville,-19.25,146.77,138954,3
Caxias,-4.833,-43.35,134640,3
St. John's,47.585,-52.681,131469,3
Wau,7.7,27.99,127384,3
Ghardaia,32.49,3.67,125480,3
Agadez,16.996,7.983,117770,3
Punta Arenas,-53.165,-70.94,117430,3
Port-Gentil,-0.72,8.78,116836,3
Praia,14.917,-23.517,113364,3
Malé,4.172,73.509,112927,3
Sabha,27.033,14.433,100249,3
Thunder Bay,48.446,-89.275,99334,3
Thimphu,27.473,89.639,98676,3
Magadan,59.575,150.81,95282,3
Darwin,-12.425,130.85,93080,3
Santa Fe,35.687,-105.937,92681,3
São Tomé,0.337,6.73,88219,3
Río Gallegos,-51.633,-69.217,85700,3
Hobart,-42.85,147.295,80870,3
Erdenet,49.053,104.118,79647,3
Honiara,-9.438,159.95,76328,3
Tamanrasset,22.785,5.523,76000,3
Riberalta,-10.983,-66.1,74014,3
Cheyenne,41.14,-104.82,72927,3
Timbuktu,16.767,-3.017,68872,3
Ji-Paraná,-10.833,-61.967,65016,3
Bismarck,46.808,-100.783,63871,3
Vilhena,-12.717,-60.117,63231,3
Apia,-13.836,-171.769,61916,3
Cayenne,4.933,-52.33,61550,3
Leticia,-4.201,-69.955,59575,3
Fairbanks,64.837,-147.711,56993,3
Cruzeiro do Sul,-7.63,-72.67,56862,3
Tromsø,69.635,18.992,52436,3
Hamilton,32.294,-64.784,52320,3
Atar,20.517,-13.05,44265,3
Port Vila,-17.733,168.317,44040,3
Nuku'alofa,-21.139,-175.221,42620,3
Charlottetown,46.249,-63.131,42402,3
Helena,46.593,-112.035,38725,3
Victoria,-4.617,55.45,33576,3
Djenné,13.9,-4.55,32944,3
Juneau,58.303,-134.401,30711,3
