lat,lon,temp,precip,name
-90.0,0.0,-73.8,0.00,Amundsen-Scott
-80.017,-119.533,-11.1,0.00,Byrd Station
-77.883,166.733,15.3,0.00,Mcmurdo Sound Naf
-75.233,-77.167,-40.3,0.00,Eights
-43.489,172.532,48.5,0.24,Christchurch Intl
-42.883,147.333,55.2,0.00,Hobart (Ellerslie Road)
-42.836,147.51,56.1,0.00,Hobart
-41.545,147.214,49.3,0.00,Launceston
-41.327,174.805,53.6,0.28,Wellington Intl
-40.1,148.0,56.9,0.00,Flinders Island Airport
-38.949,-68.156,49.4,0.00,Presidente Peron
-38.099,147.149,50.9,0.00,East Sale
-37.934,-57.573,50.3,0.00,Mar Del Plata
-37.867,144.75,54.0,0.00,Laverton Raaf
-37.817,144.967,55.2,0.00,Melbourne Regional Office
-37.733,140.783,50.7,0.00,Mount Gambier Aero
-37.733,144.9,53.4,0.00,Essendon Airport
-37.728,144.902,53.4,0.00,Melbourne Essendon
-36.817,-73.033,51.3,0.00,Concepcion
-36.788,174.63,57.2,2.72,Whenuapai
-36.75,-59.833,53.5,0.00,Azul Airport
-36.317,141.633,52.1,0.00,Nhill Aerodrome
-35.307,149.195,44.9,0.00,Canberra
-35.165,147.466,51.1,0.00,Wagga Wagga
-34.95,138.533,55.0,0.00,Adelaide
-34.949,150.537,54.0,0.00,Nowra
-34.941,117.802,68.0,0.00,Albany Airport
-34.93,138.58,59.0,0.00,Adelaide (West Terrace)
-34.822,-58.536,52.7,0.00,Ministro Pistarini
-33.95,151.2,57.3,0.00,Sydney Intl Airport
-33.946,151.177,57.4,0.00,Sydney Intl
-33.85,151.2,58.9,0.00,Sydney (Observatory Hill)
-33.601,150.781,57.1,0.00,Richmond
-32.795,151.834,58.8,0.00,Williamtown
-32.133,133.7,52.3,0.00,Ceduna Amo
-31.97,141.45,60.6,0.00,Brokenhillp.O. (Rly Station
-31.94,115.967,67.1,0.00,Perth Intl
-31.933,115.967,67.2,0.00,Perth Intl/Belmont
-31.917,115.867,68.2,0.00,Perth Metro
-31.483,145.833,61.8,0.00,Cobar Mo
-31.391,-54.112,65.1,0.00,Comandante Gustavo Kraemer
-31.324,-64.208,59.7,0.00,Ambrosio L V Taravella
-31.144,136.817,60.0,0.00,Woomera
-31.08,150.85,62.4,0.00,Tamworthamo/Mo.From1966
-30.833,128.1,56.3,0.00,Forrest Airport
-30.789,121.462,65.3,0.00,Kalgoorlie Boulder
-30.47,138.42,68.2,0.00,Leigh Creek Aero
-30.321,153.116,63.8,0.00,Coffs Harbour
-30.15,131.58,59.8,0.00,Maralinga
-29.916,-71.2,56.5,0.00,La Florida
-29.883,-61.95,64.2,0.00,Ceres
-29.467,149.85,62.9,0.00,Moree
-28.796,114.708,73.8,0.00,Geraldton
-28.705,121.891,57.0,0.00,Murrin Murrin
-27.55,135.45,60.5,0.00,Oodnadatta Airport
-27.483,153.033,67.2,0.00,Brisbane
-27.45,-59.056,70.8,0.28,Resistencia
-27.417,153.067,67.1,0.00,Brisbane Airport
-27.386,-55.971,71.7,0.28,Posadas
-27.383,153.117,67.1,0.00,Brisbane Intl Arpt
-26.833,-65.2,67.4,0.02,Tucuman/Teniente Be
-26.757,-60.493,69.2,0.16,Presidencia Roque Saenz Pena / Termal
-26.614,118.537,71.2,0.00,Meekatharra Airport
-26.413,146.263,67.4,0.00,Charleville
-25.737,-54.473,74.0,0.39,Cataratas Del Iguazu
-25.528,-49.176,63.3,0.00,Afonso Pena
-25.033,128.3,63.4,0.00,Giles Meteorological Office
-24.9,152.317,70.6,0.00,Bundaberg Aero
-24.9,152.32,71.2,0.00,Bundabergaero
-24.888,113.67,73.9,0.00,Carnarvon Airport
-24.856,-65.486,61.4,0.00,Salta
-24.721,-60.549,69.4,0.39,Alferez Armando Rodriguez
-23.85,151.267,69.4,0.00,Gladstone Radar
-23.8,133.917,57.8,0.00,Alice Springs Arpt
-23.382,150.475,69.2,0.00,Rockhampton
-23.153,-64.329,70.2,0.00,Oran
-23.007,-47.135,71.4,0.00,Viracopos
-22.217,30.0,72.0,0.00,Beitbridge
-21.67,115.12,79.1,0.00,Onslowamo
-21.117,149.217,73.1,0.00,Mackay Mo
-21.05,29.367,69.0,0.00,West Nicholson
-20.667,140.5,75.6,0.00,Cloncurry Airport
-20.469,-54.673,75.7,0.00,Campo Grande
-20.378,118.626,74.6,0.00,Port Hedland Intl
-20.2,32.617,69.0,0.00,Chipinge
-20.15,28.617,66.2,0.00,Bulawayo (Goetz Obsy.)
-20.055,30.859,70.0,0.00,Masvingo Intl
-20.021,28.627,67.5,0.00,J M Nkomo Intl / Bulawayo
-19.851,-43.951,66.1,0.00,Pampulha Carlos Drummond De Andrade
-19.436,29.862,72.0,0.00,Gweru Thornhill
-19.25,146.767,73.7,0.00,Townsville(Civ/Mil)
-19.033,30.883,67.6,0.00,Chivhu
-19.0,28.9,71.2,0.00,Nkayi
-18.983,32.45,73.4,0.00,Mutare/Grand Reef
-18.933,29.833,71.2,0.00,Kwekwe
-18.63,27.021,71.4,0.00,Hwange National Park
-18.533,32.133,70.0,0.00,Rusape
-18.317,29.883,74.2,0.00,Kadoma
-18.283,32.75,64.8,0.00,Wyanga
-18.183,31.467,69.0,0.00,Grasslands
-18.053,-70.276,66.8,0.00,Coronel Carlos Ciriani Santa Rosa Intl
-17.945,122.232,72.5,0.00,Broome Intl
-17.93,31.094,70.2,0.00,Robert Gabriel Mugabe Intl / Harare
-17.755,177.443,75.0,0.00,Nadi Intl
-17.652,-39.253,75.6,0.00,Caravelas
-17.432,32.185,73.6,0.00,Mutoko
-17.033,30.983,72.0,0.00,Mvurwi
-16.883,145.767,76.3,0.00,Cairns Airport
-16.833,29.617,72.4,0.00,Karoi
-16.783,31.583,74.0,0.00,Mount Darwin
-16.341,-71.583,58.6,0.00,Rodriguez Ballon
-16.27,133.38,74.9,0.00,Dalywatersamo
-15.863,-47.913,69.0,0.00,Presidente Juscelino Kubitschek
-15.383,-75.167,67.5,0.00,San Juan De Marcona
-13.745,-76.22,69.0,0.00,Pisco Intl
-13.536,-71.939,55.8,0.00,Teniente Alejandro Velasco Astete Intl
-13.267,-70.667,70.6,0.00,Quincemil
-12.614,-69.229,80.0,0.00,Padre Aldamiz
-12.415,130.877,78.4,0.00,Darwin Intl
-12.022,-77.114,70.2,0.00,Jorge Chavez Intl
